"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","Cluster"
"Eddie Watt","1013684","2","1.3","1.2","0.8","0.1","0.8","-0.1","-0.1","B"
"Fernando Rodney","    494","0.4","0.5","0.6","0.3","0.3","0.2","-0.4","2.2","A"
"Hipolito Pichardo","   1472","1.5","2.3","0.6","0.6","0.9","-0.2","1.3","1.2","B"
"Jose Valverde","   1726","1.1","1.6","0.9","1.4","1.1","0.8","0.6","0.9","B"
"Gary Lucas","1007805","2.1","1.1","1.4","0.2","0.4","-0.1","1.5","0.3","B"
"Ron Darling","1002989","0.6","1","2.2","3.5","2","2.6","2.7","0.2","G"
"Jeff Montgomery","1009071","-0.1","2.7","1.6","1.6","1.4","2.6","1","0.8","E"
"Dan Wheeler","    120","0.2","0.2","0.3","1.1","1.7","0.8","0.3","0.1","C"
"Chris Haney","    192","0.6","0.2","1","1","3.9","-0.4","0.5","0","C"
"Terry Mulholland","    665","0.2","0.6","1.4","2.4","4.6","3.8","2.9","0.5","G"
"Dan Haren","   1757","0.7","0.5","3.7","3.8","4.7","6.1","5.3","3.6","K"
"Marc Rzepczynski","   6612","0.9","0.4","0.7","-0.6","0.2","0.6","0.3","0.5","A"
"Larry Andersen","1000236","1.1","-0.7","0.8","0.4","0.8","1.3","1.4","2.3","D"
"Tony Cloninger","1002359","-0.4","1.1","0.1","2.7","3.8","1.5","-0.2","0.4","C"
"Turk Farrell","1003950","1.6","0","5.3","4.3","1.2","3.3","1","1.3","F"
"Tommy John","1006515","1.1","3","3.8","2.6","2.9","3.8","4.4","4.5","I"
"Milt Pappas","1009989","3","1.4","1.2","2.1","4.8","3","3.7","3.8","N"
"Brad Radke","    748","0.8","2.8","4.9","4.2","3.7","4.2","4.5","2.1","I"
"Esteban Loaiza","   1310","1.2","-0.2","2.9","1","2.5","2.9","2.1","2.3","D"
"Luis Ayala","   1650","0.6","1.8","0.3","0.2","0.1","-0.1","-0.1","0.9","A"
"Cal Eldred","   1653","2.6","2.9","1.3","1.3","0.8","1.1","-0.4","1.9","B"
"John Wasdin","   1768","0.6","0.5","0.3","0.1","0.6","0.4","-0.6","0.8","A"
"Phil Hughes","   7450","1","0.4","2.3","3.1","0.5","1.9","1","6.4","H"
"Dave Giusti","1004748","0.4","1","2","2.7","3.8","1.2","1.3","0.4","C"
"Greg Harris","1005415","0.4","0.2","0.3","2","1.4","1.7","-0.1","-0.1","C"
"Jerry Reuss","1010853","2","1.4","2.8","4","2.5","4.6","2.9","3.9","I"
"Pedro Astacio","    862","1.8","2.6","1.5","1","2.6","3","1.6","4.2","E"
"Jeff Nelson","   1092","-0.5","0.4","0.4","2.2","1.3","1","0.4","0.3","C"
"Mike Bielecki","1000951","-0.3","1","0.5","0.4","3.2","1.8","1","2","C"
"Shawn Boskie","1001213","1.3","0.3","-0.8","0","0.2","1.3","0.7","0","A"
"Casey Fossum","    188","0.2","1.8","1.2","0.1","1.5","0.4","-0.3","0.2","B"
"Jeff Weaver","    503","1.6","3.1","4","4.1","2.2","4.3","2.4","0.3","I"
"Chris Tillman","   5279","-0.2","-0.3","1.1","1.3","2","2.3","2","2.5","D"
"George Brunet","1001590","0.1","1.1","-0.3","0.6","3.8","0.9","2.6","1.7","D"
"Eric Milton","    743","1.2","3.6","2.9","2.1","3.2","1.4","0.5","1","L"
"Russ Ortiz","   1124","0.4","1.7","1.1","4.4","2.9","3","1.6","-0.3","G"
"Jon Rauch","   1475","0.9","0.3","0.5","1.7","0.9","0.6","1.3","-0.6","A"
"Brian Duensing","   4064","0.8","1.5","1.3","1.5","0.9","-0.1","-0.4","0.8","B"
"Joe Saunders","   4366","1","1.4","2.2","1","1.2","0.3","2","0.5","B"
"Bob McClure","1008400","1.4","-0.5","-0.1","0.6","0.8","0.9","1.6","0.2","A"
"Billy O'Dell","1009724","2.9","2.9","6.4","2.6","-0.2","0.6","0.7","-0.8","F"
"Brandon McCarthy","   4662","0.5","0","1.1","1","4.5","1.9","1.6","2.6","D"
"John Axford","   9059","1.6","1.5","-0.1","-0.5","-0.4","0.8","0.3","0.2","A"
"Mark Petkovsek","1010242","-0.5","1.8","0","-0.5","0.7","1.4","0.5","-0.6","A"
"Rick Rhoden","1010887","0.7","1.2","3.2","1.6","1.7","2","3.6","5","H"
"Andy Ashby","    637","0","-0.4","0.1","3.2","3.3","1.8","3.8","3.2","D"
"Bob Wells","    760","-0.4","0.6","0.1","-0.6","0.5","1","-0.5","0","A"
"Wade LeBlanc","   5221","0.2","0.3","0.9","0.6","0.1","0.2","0.2","1.6","A"
"John Burkett","    179","2.5","2.3","2.8","4.5","2.4","2.2","4.6","4.6","H"
"Shawn Camp","   1855","0.2","0.2","0.4","-0.4","0.6","0.5","0.2","0.3","A"
"Jesse Chavez","   5448","-0.1","-0.6","0.7","1.6","2.5","-0.2","0","1.3","C"
"Tom Burgmeier","1001668","-0.1","-0.1","0.5","0.6","-0.2","0.2","0.6","-0.3","A"
"Mike Krukow","1007185","2.7","1.7","2.3","2.9","2.1","3.8","2","1.4","E"
"Juan Marichal","1008106","1.6","2.3","1.7","6.7","6.4","6.8","6.3","3.7","K"
"John Montefusco","1009065","0.7","6","5.2","3.1","2.9","0.7","0.4","0.1","L"
"Tom Niedenfuer","1009578","1.3","1.1","0.3","2.8","-0.7","-0.5","-0.1","-0.5","A"
"Gary Nolan","1009616","5.3","2.3","1.7","3.2","4.9","2.9","3","2.7","N"
"Ivan Nova","   1994","0.4","1.9","1.1","2.1","0.5","2.3","2.1","1.2","D"
"Jeremy Guthrie","   2072","2.3","2.2","1.3","2.4","1.8","0.9","0.7","1.2","B"
"Paul Assenmacher","1000344","0.8","-0.2","1.1","1.6","1.4","2.2","0.7","0.5","C"
"Scott McGregor","1008546","1.2","3.5","2.8","4.9","2.4","1.9","3.7","2.1","I"
"Dave Rozema","1011273","3.2","3.1","0.8","1.2","1.1","1.7","0.9","0.5","B"
"Mike Leake","  10130","0.7","1.3","1.2","2.3","2.4","1.6","2.4","3","D"
"Jamey Wright","    715","1","0.6","1.5","1","1.8","0.8","-0.2","0.6","C"
"Mike Trombley","    758","0.6","0.7","-0.4","0.4","1.7","1","-0.1","0.5","A"
"Madison Bumgarner","   5524","1.7","4.3","2.6","3.5","3.6","5","4.3","1.6","I"
"Heathcliff Slocumb","1012069","0.1","-0.2","0","1.6","1.2","1.9","0.2","0.2","C"
"Hoyt Wilhelm","1013945","2.6","1.7","1.7","2.6","1.9","1.4","0.9","1.2","F"
"Zach Duke","   3840","2.2","3.2","0.7","2.7","2.9","0.2","0.6","0","B"
"Stephen Strasburg","  10131","2.3","4","3.2","4.5","3.4","3.9","5.8","2.3","I"
"Jack Aker","1000097","0.2","1.2","0","-0.7","-0.2","0.6","-0.1","0.3","A"
"Chuck McElroy","1008477","0.7","0.5","0","1.2","0","0.6","1.4","1.9","A"
"Jeff Robinson","1011072","2.1","1.4","1","1.4","0.6","0.3","-0.1","0","B"
"Jeff Shaw","1011823","-0.4","0","-0.3","0.4","0.3","1.2","2.3","1.2","A"
"Todd Worrell","1014259","0.3","2","0.8","0.1","0.9","0","0.8","1.4","B"
"Jimmy Haynes","    329","0","1.1","1.7","1","1.4","1.7","2.1","-0.2","C"
"Roger Clemens","    815","3.4","2.3","7.1","8.4","9.2","5.1","8.2","8.5","O"
"Ricky Bottalico","    948","0.9","1.3","0.8","-0.6","0.1","-0.2","-0.2","0.8","A"
"James Baldwin","   1064","2.5","2.9","1.8","1.3","1.4","1.2","0.3","-0.1","B"
"Jim Johnson","   3656","1","0.3","1.3","1.3","0.9","-0.7","0.3","1.4","A"
"Jim Barr","1000606","0.2","1.9","2.5","3.3","2.7","3.6","3.1","2.1","G"
"Eddie Fisher","1004085","-0.4","2.2","1","0.4","0.5","0.6","0.1","0.2","B"
"Steve Hargan","1005356","0.9","4.7","4.2","0.4","0.7","1.8","-0.9","2.6","J"
"Eric Show","1011937","1.5","0.8","1","1.6","1.3","1.3","3","1.1","D"
"Carl Pavano","    790","0.9","2.1","1.8","0.4","0.8","3.3","4.5","0.6","E"
"Dillon Gee","   7396","0.3","0.3","1.6","2.1","0.4","0.2","-0.2","0.3","A"
"Ron Herbel","1005685","2.2","1.8","0.4","0.5","-0.6","0.3","-0.6","-0.5","B"
"Greg Minton","1008986","0.7","1.1","0.5","0.7","-0.4","-0.5","-0.7","-0.1","A"
"Edwin Nunez","1009658","0.1","0.3","0.7","0.1","0.2","0","-0.4","1.1","A"
"Fernando Valenzuela","1013327","4.9","6.1","4.2","5.2","5.4","6.2","2.3","-0.2","M"
"Bill Wegman","1013727","0.8","2.4","1.4","0.1","2.9","3.1","1.2","1.8","E"
"Steve Avery","   1706","1.5","2.6","3.5","5.1","2.5","2.5","2.4","-0.1","L"
"Rick Porcello","   2717","1.7","1.9","2.3","3","2.9","3","1.7","5.1","H"
"Paul Lindblad","1007614","0.8","0.3","0.2","0.2","-0.1","0.3","0.2","-0.3","A"
"Tom Murphy","1009376","1.3","2.7","0","0.6","0.8","1.5","0.3","0.1","B"
"Joey Hamilton","    328","2","3.1","3.4","1.4","2.4","1","0.5","1.5","J"
"Curtis Leskanic","    694","0.2","2.7","0.2","0.4","0.2","1","0.5","0","B"
"Aaron Fultz","   1113","0.4","0.5","-0.1","0.2","0.1","0.6","0.8","0.3","A"
"Jerome Williams","   1137","2","1","0.8","-0.3","0.3","0.9","0.3","0.3","A"
"Hector Carrasco","   1240","0.4","1","0.1","0.5","0.5","0.7","0.4","0.6","A"
"Russ Springer","   1652","-0.3","0.1","-0.3","0.9","0.9","0.4","0.4","-0.2","A"
"Jeff Samardzija","   3254","-0.3","0.6","2.7","3","4.4","2.3","2.3","3.8","G"
"Doug Fister","   9425","0.3","3.4","5.4","3.5","4","1.5","0.1","0.8","L"
"Don Hood","1005994","0.8","0.7","0.2","-0.3","1.5","0.7","0.4","0.6","A"
"Dave Hamilton","1005271","0.9","0.3","1","1.3","0.3","0.2","-0.7","0.9","A"
"Scott Kamieniecki","1006681","0.2","2.2","1.1","1.1","0.7","2.2","0.1","0.6","B"
"Jim Perry","1010213","1.4","1","1.9","1.5","0.6","1.7","2.9","1.8","D"
"Pete Richert","1010922","1","0.4","0.1","2.8","2.4","2.5","0.1","0.7","C"
"Mario Soto","1012289","-0.2","-0.1","3.1","3.3","7.4","4.5","2.5","3.1","N"
"Carlos Zambrano","    305","1.1","4.7","4.7","4.2","3.9","2.8","2.8","3.8","I"
"Brian Fuentes","    429","1.1","0.6","1.5","0.9","0.9","2.5","0.3","0.2","C"
"Scott Kazmir","   4897","0.5","3.6","3.6","4.8","2.3","2.2","-1","2.5","L"
"Shaun Marcum","   6204","0.3","1.1","1.6","3.6","2.7","1.2","1.6","-0.2","C"
"Tony Armas Jr.","    761","1","3.6","1.2","0.5","-0.1","-0.4","0.9","0","B"
"Roy Halladay","   1303","0.5","-0.3","4","6.8","7","2.8","3.8","5.1","K"
"Aaron Harang","   1451","1.2","1","1.8","4.6","5.7","5.4","1.4","2.2","N"
"Dennis Cook","      8","0.1","-0.4","0","0","0.2","0.2","1.5","0.7","A"
"Scott Erickson","    137","0.8","3.2","1.9","3.3","2.2","3.4","3.6","4.7","H"
"Tim Wakefield","    219","1.3","-0.5","2.6","1","1.8","1.6","0.7","-0.3","C"
"Matt Guerrier","   2061","0.3","0","0.7","-0.7","0.1","0.1","0.8","0.2","A"
"Jeff Reardon","1010741","0.6","0.4","1.7","0.7","1","1.2","0.1","0.7","C"
"Bud Norris","   9492","0.5","1.6","2","1.7","2.7","1.3","0","0.7","C"
"Bob Knepper","1007031","1.6","4.5","0.1","1.9","2.7","1.6","2.6","1.7","E"
"Denny McLain","1008603","0.6","4","0.9","1.1","7.2","7","0","0.1","N"
"Chris Hammond","     92","1.2","1.2","2.2","1.2","2.4","-0.3","0.9","1.8","C"
"Brett Myers","    962","-0.1","2.3","1.1","3.4","3.5","1.2","1.8","-0.5","L"
"Jeff Francis","   4684","0.3","2","3.5","3.7","1.5","1.6","1.7","1.7","F"
"Gary Bell","1000806","1.4","1.7","0.2","0.6","-0.4","0.7","5","2.8","D"
"Skip Lockwood","1007696","0.6","2.5","1.7","2","-0.2","0.8","2.3","2.3","D"
"Paul Shuey","    406","0.5","0.1","0.5","1.8","1.5","1.8","1","0.3","C"
"Brian Moehler","    480","2.1","3.1","3.4","3.3","0.3","2.1","0.3","0","F"
"Ken Hill","1005827","1.8","1","2.1","3.2","2.6","2.3","1.4","5.6","H"
"Kevin Brown","    642","3.1","2.4","1.5","6.3","4.4","3.4","4.5","6.7","K"
"Steve Reed","   1053","-0.5","-0.1","1.7","0.3","-0.3","0.8","0.1","0.3","A"
"Salomon Torres","   1628","-0.1","0.2","-0.4","0.7","0.2","0.3","1.3","0.3","A"
"Jered Weaver","   4235","2.5","2.9","3.2","3.8","5.8","5.4","3","2.3","N"
"Justin Verlander","   8700","2.8","3.7","3.2","8.5","6.6","6.5","6.9","4.8","O"
"Kirk McCaskill","1008382","2.2","5.6","0.3","2.6","3.2","2.4","1.3","2.7","E"
"Juan Pizarro","1010382","-0.2","3.9","3.9","4.7","3.9","0.9","-0.3","0.4","L"
"Doug Rau","1010717","0.5","0.4","2.3","4.8","1.9","4.3","1.9","0.7","G"
"Dan Plesac","   1319","2.5","2.3","1.9","0.9","0.9","0","0.6","-0.2","B"
"Ken Dayley","1003097","0.2","1","2","1","1.3","0.8","0.5","0.5","C"
"Mark Guthrie","    876","0.3","3.4","0.6","1.4","0.2","1","1.1","-1","B"
"Vicente Padilla","    964","1","0.7","3.6","2.7","1.3","0.6","3.2","0.7","F"
"Shigetoshi Hasegawa","   1082","0.7","0.4","-0.4","0.6","0.5","0.6","0.7","0.5","A"
"Kent Bottenfield","1001226","0.3","-0.8","0.5","-0.1","1.4","2.3","0.9","-0.5","A"
"Pete Harnisch","1005374","0.2","2","3.3","2.5","3.2","0.3","1.7","0.7","L"
"Tom Henke","1005649","1.1","3.5","3.3","1","3.5","1.5","1.7","0.6","J"
"Cal Koonce","1007101","1.6","0.1","0.7","1.4","0.4","1.1","0.2","-0.6","A"
"Claude Raymond","1010732","0.2","-1.4","0.8","2","0.3","-0.4","0","-0.2","A"
"Frank Tanana","1012818","3.6","7.2","6","5.8","2.8","1.3","3.5","1.2","M"
"Matt Morris","   1172","4.6","2.1","0.9","6.1","4.2","2.8","1.1","2.7","G"
"Aaron Cook","   1571","0.3","1","1.2","1","3.6","2.1","4.7","1.4","D"
"Clayton Richard","   3551","0.7","1.5","2.2","0.6","0.3","-1","0.4","0.5","B"
"John Buzhardt","1001788","2.1","0.9","1.1","1.9","2.6","2.6","1.4","-1","C"
"Willie Hernandez","1005714","1.6","-0.4","0","0.8","1.4","1.4","3.2","1.7","D"
"Jeff Fassero","    279","1.3","1.3","3.5","2.9","3.6","5.9","5","3.1","I"
"Mike Fetters","    988","-0.1","-0.1","0.5","0.1","0.9","0.5","1.4","1.2","A"
"Ryan Franklin","   1076","-0.1","1.4","1","1.3","0.9","-0.6","0.7","-0.4","A"
"Bob Moose","1009134","3.6","3.8","3.2","1.3","5.2","3.1","0.3","0.5","J"
"Jake Peavy","   1051","1.7","0.8","4.1","5.4","4.4","6.7","3.7","2.7","I"
"Woody Williams","   1190","0.2","0.5","0.3","0.9","1.4","1.3","1.5","1.9","D"
"Floyd Bannister","1000516","1.7","0","2.3","4.2","1.8","4.9","5","2","G"
"Oil Can Boyd","1001279","1.4","3.6","4.6","2.4","0.1","-0.3","0.2","2.2","F"
"Jose DeLeon","1003168","3","2.9","1.8","0.8","2.4","4.6","4.6","2.8","E"
"Rollie Fingers","1004051","0.2","1.6","1","1.5","2.4","3.3","2.2","4.1","H"
"Dave Goltz","1004818","1.2","1.4","2.4","4","3.3","6","4.4","4.6","K"
"Steve Rogers","1011138","2.6","4.4","4.2","4.8","7","3.7","4.2","4","K"
"Pete Vuckovich","1013461","0.5","2.2","4.3","3","2.5","2","2.4","0.1","L"
"Stan Williams","1014039","3","4.6","0.7","2.6","0.7","1.6","3.2","1.1","E"
"Jon Garland","    232","0.4","0.3","2.2","1.7","1.9","3.5","3.6","3.5","H"
"Rick White","    456","0.2","0.8","0.3","1.6","0.7","0.6","0.9","-0.2","A"
"Grant Balfour","    718","0.3","2.3","0.7","1.2","0.5","1.6","0.6","-0.1","B"
"Jaime Navarro","1009465","1.8","2.1","3.1","4","2.4","1","3.3","3.2","H"
"John Wetteland","1013815","1.7","-0.1","1.3","3.4","1.4","1.7","1.2","1.6","D"
"Pat Hentgen","    145","-0.3","2.2","3.5","2.5","6","3.8","0.7","1.9","N"
"Doug Drabek","1003473","1.5","2.7","2.4","2.5","4.2","3.9","4.8","4.1","H"
"Pat Mahomes","    291","0.7","-0.3","-0.2","-1","-0.6","-0.1","-0.7","-0.6","A"
"Chuck Finley","    384","0.5","0.7","2.4","3.8","4.8","2.9","1.3","5.1","N"
"Mark Clear","1002330","1.3","2.1","-0.5","0.8","-0.6","0","0.2","1.6","A"
"Jack Fisher","1004090","2.5","2.5","0.5","0.1","1.5","2.4","2","1.4","E"
"Bill Hands","1005303","1.2","1.6","3.1","6.5","6.4","3.7","3.8","1.9","N"
"Ken Johnson","1006477","0.8","0.6","4.5","4.1","2.9","3.9","2.3","1.9","G"
"Mickey Lolich","1007712","1.9","4.4","5.1","2.2","4.6","3.2","6","5.1","K"
"Chien-Ming Wang","   2074","1.4","3.8","3.7","1.5","0.1","0.1","-0.4","-0.1","B"
"John Curtis","1002905","3.3","2.2","1.4","0.2","-0.3","0","0.5","0.8","B"
"Moe Drabowsky","1003474","0.4","-0.1","2.4","0.6","0","1.3","1.4","0.2","A"
"Kevin Gregg","   1793","1.4","0","0.7","1.1","0.9","-0.3","0.8","-0.4","A"
"Dave LaPoint","1007338","1.8","1.9","3","2.4","-0.1","1.1","3.2","0.5","F"
"Randy Lerch","1007551","0.6","1.8","2.3","0.5","1","0.3","-0.3","0.4","B"
"Jason Johnson","    147","0.2","1","-0.2","1.1","1.7","2.1","2.7","2.6","D"
"Bill Caudill","1002088","0.5","1","-0.1","3.2","0.2","2","-0.3","-0.2","C"
"Tim Hudson","    921","3.8","3.5","5.1","4.7","5.8","4.6","1.8","2.5","M"
"Terry Forster","1004236","0.5","2.3","3.1","3","0.8","1.3","0.9","1.6","F"
"Mark Portugal","1010460","1.3","-0.7","-0.7","1.6","1.7","0.9","0.7","3.4","D"
"Dave Roberts","1011031","-0.3","2.6","5.4","1.8","4.2","3.2","1.8","3.2","I"
"Mike Scott","1011691","0.3","1.3","0.3","1.7","2.2","1.7","8.6","5.4","H"
"Cliff Lee","   1636","0.7","1.1","3.8","2.3","0.1","6.8","6.4","7.4","H"
"Kerry Wood","    304","4.4","1.4","3.9","3.6","4.2","2.9","0.5","2.1","J"
"Roy Oswalt","    571","4.2","6.2","2.6","6.5","6.1","6.1","4.9","3.7","O"
"Pete Smith","1012191","0.2","1.9","2","0.8","0.2","1.3","0","-0.3","B"
"Jorge De La Rosa","   2047","0.3","-0.3","0.4","2.4","3.3","1.4","1.5","2.8","D"
"Mike Boddicker","1001111","3.8","3.6","3.8","2.9","3.3","4","2.9","4.1","M"
"Pat Dobson","1003345","-0.5","0.6","1","3.2","5.6","4.9","1.8","4.4","N"
"Tug McGraw","1008545","0.1","-0.4","1.3","0.7","2","1.6","-0.1","-0.2","C"
"Nolan Ryan","1011348","0.6","1.7","1.1","0.6","5.4","8.7","6.8","2.4","N"
"Rafael Betancourt","    177","0.4","1.8","1.5","0.8","3.3","0.2","1.4","1.8","C"
"Bob Howry","    237","0.6","0.8","1.2","0.3","0.4","0.4","1.4","1.5","A"
"Jose Contreras","   1660","1.7","1.1","3.3","4","2.4","2","2.1","0.7","G"
"Willie Blair","1001033","0.8","-0.2","0.5","1","0.2","1.1","-0.3","3","A"
"Tom Hume","1006179","0.1","2.2","2.6","1.4","-1","0.5","-1.2","-0.5","B"
"Rick Helling","     58","-0.3","0.4","0.3","3.5","1.3","2.6","2.1","1.5","D"
"Brandon League","   3731","-0.7","0.6","0.1","0.8","0.4","1.4","0.9","-0.7","A"
"Neil Allen","1000154","1.3","0.8","0.7","0.6","0.9","0.3","-0.4","1.8","A"
"Mike Caldwell","1001830","2.2","1.8","1.5","0.5","1.4","1.1","6.3","4.4","H"
"Lee Guetterman","1005122","0.4","1.4","0.2","1","1.2","0.4","-1.2","0.4","A"
"Bruce Kison","1006978","1","1","0.2","0.9","1.7","3.2","2","1.5","D"
"Sam McDowell","1008476","0.1","0.6","3.7","8.7","4.4","2.8","6.8","9.4","K"
"Jack Sanford","1011432","2.8","1.6","3.2","3.8","1.2","0.2","0.2","0.2","F"
"Clyde Wright","1014272","0.2","0.6","0","0.3","2","3.9","1.4","0.8","C"
"Scott Bailes","1000430","0.9","0.2","-0.2","1.2","-0.9","0.2","-0.8","0.3","A"
"Doug Jones","1006552","2.6","3.7","2.6","1.4","0.8","2.6","0.8","1.6","J"
"Jim Merritt","1008789","0.9","2.7","4.6","4.4","2.6","3.9","-0.5","1.5","L"
"Pete Mikkelsen","1008852","0.7","0.1","0.3","-0.9","-0.7","0.3","-0.3","0.1","A"
"Bret Saberhagen","1011355","1.9","6.2","3.5","5.2","5.5","7.5","2.9","4.4","K"
"Zane Smith","1012218","1.9","3.3","3.7","1.6","2.2","4","4.6","2.2","I"
"James Shields","   7059","1.7","4","4.1","3.4","2.1","4.9","3.8","4.1","I"
"Jordan Lyles","   7593","0.4","0.8","0.4","1.4","0.9","0.2","-0.3","0.6","A"
"Mike LaCoss","1007240","0.6","2","1.3","-0.1","0.2","0.1","1.8","0","B"
"Frank Linzy","1007643","0.7","0.8","0.1","0.3","0.8","0.3","0.1","-0.3","A"
"Steve Renko","1010835","0.1","1.4","1","-0.4","2.7","3.7","0.7","3.3","E"
"Ron Robinson","1011076","0.4","1.3","1.7","2.5","0.9","0.6","3.1","0.2","D"
"Scott Sanderson","1011422","1.3","2.5","2.7","2.2","2.9","0.6","3.6","2.2","J"
"Kelvim Escobar","   1298","0.8","1.9","2.3","1.9","2.7","0.5","3.4","4.2","H"
"Earl Wilson","1014073","0.6","1.9","2.3","1.5","3.5","4.2","1.7","3.6","E"
"Blaine Boyer","   2237","0.6","0","0.3","-0.1","0.3","0.3","0.3","0.4","A"
"Jack Morris","1009211","0.5","0.3","3.6","3.7","2.7","2.2","6.2","4","H"
"Dickie Noles","1009620","1","0.4","0.8","2.1","1.7","0","1","-0.9","C"
"Elias Sosa","1012284","0.8","-0.4","-0.1","1.1","0.6","1.3","1.5","1.5","A"
"Craig Breslow","   4363","0.9","0.4","0.5","0.4","0.6","0.5","-0.9","-0.6","A"
"Pete Falcone","1003910","0.9","2.5","-0.4","-0.8","0.8","1","1.2","-0.5","B"
"Aurelio Lopez","1007753","0.4","2.2","1.5","0.4","-0.5","1","0.4","-1","B"
"Al McBean","1008337","0.4","3.6","1.5","0.7","0.5","0.1","0.7","1.5","B"
"Mike Smithson","1012181","0.5","4","2.7","3.2","1.9","0.5","-0.6","-0.3","L"
"Tomo Ohka","    788","1","1.2","3.2","3","1.1","1.6","0.9","-0.1","F"
"Ricky Bones","1001161","0.9","-0.4","0.5","2.3","1.1","-0.4","0.3","0.4","A"
"Jay Howell","1006098","1","2.9","2.3","0.9","0","2.2","1.5","0.8","B"
"Lynn McGlothen","1008534","2.5","4.1","2","2.7","-0.3","0.6","2.7","1","J"
"Sid Monge","1009053","0.1","-0.7","0.5","2.1","-0.3","-0.2","-0.2","-0.6","A"
"David Palmer","1009970","1.5","1.6","0.9","1.5","2.5","3","1.9","1.8","E"
"Bob Tewksbury","1012941","2.2","0.4","0.3","2.9","2.6","4","4.3","2","G"
"Bill Travers","1013161","-0.5","0","1.3","0.3","0.7","0.3","0.4","0.3","A"
"Drew Storen","   6983","0.6","0.7","0.7","0.2","1","1.2","0.1","-0.1","A"
"Jim Colborn","1002409","1.7","1.2","5.1","1.1","1.8","2.3","2.1","-0.8","F"
"Ron Kline","1007004","-0.2","2.3","0.5","1.1","0.8","0.5","-0.1","-0.3","B"
"Dan Quisenberry","1010622","0","1.9","1.1","1.5","2.7","1.5","2.7","1.3","D"
"Darren Oliver","    206","0.2","0.7","2.3","1","1.4","3.3","0.9","1.2","C"
"Scott Eyre","   1300","-0.1","-1","1.1","0.2","-0.2","1.5","0.2","0.2","A"
"Santiago Casilla","   2873","0.4","0.3","-0.2","0.6","0.3","-0.5","-0.2","0.4","A"
"Ray Culp","1002869","2.1","0.4","2.4","-0.5","0.4","3.8","4.1","5.3","H"
"Jaret Wright","    415","1.3","2.1","1","0.6","-0.4","4.5","0.1","2.4","E"
"Bronson Arroyo","    978","0.5","0.1","3.3","2.4","4.6","3.4","2.2","1.4","G"
"Scott Baker","   6176","0.9","0.6","2.7","3.3","3.4","2.5","2.5","0.1","G"
"Hal Woodeshick","1014215","1","0.1","2.9","1.3","0.3","0.5","0","-0.6","F"
"Darren Holmes","     95","0.7","1","1","1.6","1.1","0.8","0.4","0.4","C"
"Pedro Martinez","    200","1.7","3.4","3","5.1","8.5","5.7","11.6","9.4","O"
"Esteban Yan","   1236","0.2","-0.1","1.3","1.2","0","-0.5","0.8","-0.2","A"
"Rudy May","1008310","0.4","1.9","3","3.5","2.6","1.5","2.7","4","H"
"Rheal Cormier","    952","1.5","3","1.2","0.4","1.7","2","0.9","0.8","B"
"Justin Masterson","   2038","0.2","1.7","2.7","5.1","2.8","3.7","0.5","-0.1","G"
"Alan Mills","1008949","-0.5","0.7","-0.6","0.1","-0.3","-0.4","-0.2","-0.6","A"
"B.J. Ryan","    168","-0.2","0.3","0.1","1.6","3.3","2.6","2.7","0.8","D"
"Ron Mahay","    290","-0.5","0.9","0.9","-0.3","0.3","0.5","0.4","-0.4","A"
"Steve Sparks","    499","2.4","-0.9","1.5","0.5","2.1","3.2","1.2","0","C"
"Jay Witasick","   1138","1.1","1.1","1.4","0.7","-0.2","0.1","1","-0.3","B"
"Bruce Dal Canton","1002936","0.2","0.5","2.1","2.3","0","2.5","1.3","-0.4","F"
"Bobby Thigpen","1012958","0.7","0.7","0.9","-1.1","1.6","-1.2","0.1","-0.3","A"
"John Halama","   1080","0.7","2.4","2.3","0.1","1.1","0.1","0.5","0.2","B"
"Chris Bosio","1001212","-0.3","3.7","3","5.5","1.4","3.3","3.8","2.8","I"
"Dick Bosman","1001215","0.3","0.9","0.9","4.2","4.1","1","2.6","-0.6","G"
"Don Wilson","1014071","3.2","3.8","4.4","2.1","5","4.4","2.4","1.1","M"
"Boone Logan","   5525","0","0.2","0.3","0.5","0.4","0.1","0.3","0.8","A"
"Tyson Ross","   7872","0","0.8","0.3","1.9","2.6","4","-0.1","1","C"
"Bill Bonham","1001165","-0.2","0.9","2.8","5.4","3.7","2.3","4.1","2.1","G"
"Pat Rapp","1010700","1.2","0.6","2.2","1.1","0.5","1.2","1.6","2.2","D"
"Tom Underwood","1013281","3.4","2.2","1","2","2.7","2.7","1.3","1.3","E"
"Nate Robertson","   1620","0.3","2","1.4","2.2","1.8","1.1","0.5","0.5","C"
"Travis Wood","   9884","2.1","1.1","0.4","3","1.4","1.2","0","-0.6","C"
"Aroldis Chapman","  10233","0.5","3.1","1.8","2.8","2.5","2.7","1.5","1.9","E"
"Moose Haas","1005172","1.8","0.3","1.3","4","1.9","3.6","2.9","3.1","G"
"Justin Speier","    451","0.6","0.2","0.4","0.5","0.4","0.4","1","0.5","A"
"Joe Beimel","    979","0.4","0","-0.4","0.2","1","0.5","0.3","0","A"
"Dave Veres","   1188","0.4","1.8","0.2","0.3","1.5","0.2","1.5","-0.2","A"
"David Price","   3184","1.1","4.3","4.8","4.3","3.9","5.6","6.7","4.4","K"
