"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","Cluster"
"Don Aase","1000003","2.2","1.6","1.8","1.9","0.7","0.6","0.8","1.5","1.9","-0.4","C"
"Jim Bunning","1001653","6.9","6.3","4.6","2.7","5.6","7.3","6.8","6.8","0.6","3.8","N"
"Mark Gardner","1004529","2.3","0.8","1.9","-0.1","0.4","0.4","1.4","1.4","2","-0.2","C"
"Sonny Siebert","1011951","2.6","5.4","3.4","2.3","2.7","2.1","3.3","4.4","2.7","1.7","M"
"Jarrod Washburn","     40","0.6","1","0.3","2.5","4.2","1.6","1.7","2","1.9","2","E"
"LaTroy Hawkins","    729","-0.1","1.6","1.4","1.1","-0.1","1.6","2.6","1.4","0.2","0.7","D"
"Clayton Kershaw","   2036","1.3","4.1","4.5","7.4","6.2","7.3","8","8.7","6.4","4.3","O"
"Mike Hampton","    430","-0.1","2.3","2.4","3.1","2.3","4.9","4.6","1.9","0.3","2.6","K"
"Trevor Cahill","   6249","0.4","2","2.1","2.4","0.7","0.6","0.1","-0.1","0.2","2","B"
"Tim Leary","1007438","0.5","0.5","2.5","0.1","4.7","2.3","3","0","-0.2","0.8","H"
"Bob Veale","1013391","1","1.4","6.5","8","5.3","2","2.6","6","3.7","-0.2","L"
"Armando Benitez","    865","-0.3","1.7","0.4","3.1","1.5","0.3","1","0.9","1.6","-0.2","B"
"Steve Trachsel","    898","1.5","0.7","1.6","1.7","1.8","2.5","2.4","2","2.1","1.8","D"
"Ian Kennedy","   6986","-0.2","1.6","4.4","2.3","0.4","2.8","0.4","1.9","0","1","G"
"Don McMahon","1008629","-0.7","0.2","0.9","-0.5","0.8","0.1","0.1","0.3","0.8","0.9","A"
"Joe Hesketh","1005747","0.8","3.3","0.7","1.2","-0.1","0.2","1.3","1.9","0.3","2.3","C"
"Matt Young","1014385","3.3","1.3","3.5","1.7","1.1","-0.1","3.7","1.4","0.2","-0.1","C"
"Barry Zito","    944","2.1","4.8","4.5","4.4","3.1","3","2.2","1.6","1.3","2","K"
"Mike Timlin","   1187","1.5","0.7","0.2","0.2","1.3","1.4","0.6","1.8","0.3","0.1","A"
"Ryan Madson","   1852","1.3","0.8","0.9","0.4","1.2","1.2","1.2","1.8","0.9","0.4","A"
"Jeff Brantley","1001358","-0.1","1.4","-0.2","0.3","-0.6","1","0.2","1.2","-0.5","-0.5","A"
"Mark Eichhorn","1003712","0.4","4.9","0.8","0","0.5","2.1","1.9","1.6","1","1.6","C"
"Jack McDowell","1008473","1.4","2.9","5.2","4.8","5.2","4.9","3.5","3.5","0.5","0.9","K"
"Dave Stieb","1012532","1.6","4.3","2.9","4.8","5.1","5.6","4.5","0.8","2.5","3.1","L"
"Rick Aguilera","1000086","2","1.6","1.6","3.6","1.3","1.5","0.8","1","0.8","1.3","B"
"Dick Ruthven","1011330","1.4","3.4","0.4","3.9","2.1","3.4","1.6","3.2","1.6","2.2","I"
"Scott Downs","    773","1","0.4","1","0.5","1.1","1","0.8","1.1","0.6","0.2","A"
"Trevor Hoffman","   1035","0.4","1.6","0.1","2.9","2.3","3.1","2.2","2.6","0.3","2","E"
"Wilson Alvarez","   1193","-0.2","-0.6","2.7","2.8","1.5","4.2","3.8","1.3","1.8","0","H"
"Jim Acker","1000030","0.3","0.6","-0.1","1.5","0.2","-0.3","1.9","0.3","-0.8","-0.2","A"
"Gene Garber","1004493","1","-0.1","0.4","1.8","2.3","1.2","1.1","0.9","0.7","2.2","B"
"Bruce Hurst","1006222","0","0.4","2.6","1.8","3.3","4.2","3.5","3.8","5.2","4","F"
"Tippy Martinez","1008200","-0.4","0.4","0.3","0.5","2.2","1.6","0.6","1.8","1.2","0.2","A"
"Javier Lopez","   1663","0.7","0.2","0.1","0.1","0.5","0.4","0.5","0.7","-0.4","0.3","A"
"Scott Feldman","   6283","0.3","-0.4","0.6","2.9","1.2","0.2","2.3","2.2","1.2","0.8","B"
"Larry Dierker","1003288","1.8","2.4","2.1","1.9","7.3","3.6","3.3","3.3","2.9","0.9","L"
"Dave Righetti","1010958","3.5","2.9","5.4","2.6","2.7","3","1.2","1.4","1.2","-0.4","G"
"Bob Stanley","1012409","1.7","2.3","4","2.5","0.3","2","2.3","1.1","0.7","0.8","G"
"Dennis Leonard","1007531","2.4","3.8","7.9","4.7","2.5","3.5","3.7","0.3","1.2","2.6","K"
"Ray Burris","1001729","1.4","0.3","2.4","2.8","2.1","1.8","0.1","0.6","1.2","-0.5","B"
"Mike Moore","1009122","0.4","2.4","4.2","5.9","3.7","3.1","4.6","4.4","1.3","3.4","L"
"Bob Walk","1013507","2","-0.3","0.8","1.3","0.2","1.1","3.2","1.5","0.8","1.1","D"
"Brett Tomko","   1056","1.5","3.6","1.4","0.5","-0.5","1.3","1","2.7","2.3","1","C"
"Jack Billingham","1000970","0.3","-0.2","3.7","4.1","2.5","3.7","3","0.5","0.7","1","H"
"Bill Campbell","1001874","0.6","2.2","0.7","1.7","1.7","1.8","0.2","0.2","0.2","0.9","C"
"Gary Peters","1010228","6.5","4.3","0.7","4.2","4.6","2.6","3.2","4.1","1.8","0.1","M"
"Joaquin Benoit","   1437","0.7","-0.1","1","1.5","1.2","1.8","-0.2","1.7","1.2","0.1","A"
"Ramon Martinez","1008193","0.4","0.8","4.9","2.9","1.1","1.9","1.9","2.2","2","1.3","G"
"Bob Welch","1013750","2.4","1","2.9","1.9","3.3","3.7","2.8","2.1","5.4","4.5","F"
"Bob Wickman","    413","0.7","0.9","1.6","0.8","0.6","1.1","1","0.8","1.8","2","D"
"Jim Abbott","1000012","2.5","2.8","5.5","4.4","2.3","1.3","3.5","0","0.5","-0.2","G"
"Norm Charlton","1002160","0.6","1.4","2.4","1.9","1.5","0.8","1.5","1.2","-0.2","0","B"
"Josh Beckett","    510","1.9","4","3.3","4.2","1","5.7","4.3","4.3","1","3.8","M"
"Arthur Rhodes","   1097","0.1","2","-0.4","0.5","0.2","1","1.9","1","-0.4","1.6","A"
"Steve Kline","   1164","-0.6","0.8","0.6","1.1","1.2","0.7","-0.1","0.6","-0.7","0.2","A"
"Ismael Valdez","   1283","3.8","4.4","3.9","2.2","2.2","0.4","2","2.4","0.2","-0.5","G"
"J.P. Howell","   8245","0.2","0.7","0.4","1.5","0.7","-0.5","-0.4","0.9","0.4","0.3","A"
"Mark Langston","1007323","4.4","-0.7","4.1","6.4","4","4.8","4.6","3","5.4","5.6","J"
"Tim Stoddard","1012556","1.3","1.8","-0.5","0.5","-0.6","0","0.1","-0.4","0.8","-0.1","A"
"Gene Nelson","1009501","-0.3","0.9","-0.4","0.6","0","1.4","1.8","0.5","1","0.6","A"
"Darold Knowles","1007058","0.9","0.6","0.9","0.2","0.8","0.6","0","-0.2","-1.1","1.7","A"
"Gregg Olson","1009791","2","1.8","2.2","1.6","1.5","0","-0.2","0.3","1.1","0","C"
"Joe Price","1010530","0.4","0.8","0.4","2","1.8","0.3","-0.1","0.3","0.2","0.2","A"
"Chris Short","1011931","0.4","0.7","1.1","3.4","5.6","6.5","3.3","3.4","2.1","3.9","L"
"Bobby Witt","1014170","0.8","1.7","2.4","2.5","5","0.9","1.3","3.2","0.9","3.6","E"
"Stan Belinda","1000792","0.6","-0.3","-0.3","1","0","1.2","1.2","0.3","-0.4","-0.5","A"
"Andy Hawkins","1005514","0.2","1.1","0.2","2","1.3","0.3","1.5","1.1","0","0.3","A"
"Dave McNally","1008655","1.2","1.4","2.3","3","0.7","4.5","4.7","4.9","1.8","3","M"
"Brad Penny","    535","1.2","4.6","1","3.1","3","3.5","3.6","4.4","0","1.8","M"
"Sterling Hitchcock","    824","0.4","0.8","2","2.7","0.7","1.5","3","0.4","1.2","0.4","B"
"David Weathers","    902","0.9","1","0.4","0.4","1.9","0.1","0.5","1.1","0.5","0.7","A"
"Darryl Kile","   1163","0","0.8","2.4","0.8","1.7","3.7","4","3.2","0.9","4.3","E"
"Ken Holtzman","1005989","3","0.2","2.3","5.1","5.8","3.6","2.7","5","5.5","3.6","L"
"Rick Sutcliffe","1012734","2.7","-0.4","-0.3","3.5","3","6","2.4","1.5","3.4","3.2","H"
"Todd Stottlemyre","     75","-0.2","1.2","2.7","2.6","1.4","3","2","4.1","2.3","3.3","E"
"Mike Mussina","    837","1.7","5.3","2.8","3.4","5.1","5.3","5.4","5.1","6","6.4","J"
"Alan Embree","   1030","-0.6","0.9","0","0.5","0.6","-0.3","1.6","0.8","0.4","-0.3","A"
"Rod Beck","   1730","0.4","2.7","1.4","-0.3","0","0.4","1.1","1.1","0.1","0.9","A"
"David Robertson","   8241","0.2","0.7","0.8","2.3","1.5","1.3","1.4","1.7","1.1","1.9","B"
"Elmer Dessens","    317","0.1","3","2.2","1.6","2.2","0.8","0.5","0.6","0","-0.2","C"
"Shawn Estes","    873","1.3","3.6","1.8","2.4","3","2.1","1.5","0.6","0.7","0.8","C"
"Tim Lincecum","   5705","3","7.2","7.5","4.3","3.5","0.9","1.4","0","0.3","-0.7","G"
"Tony Sipp","   8280","0.3","-0.6","0.2","0","-0.3","0.8","0.9","-0.8","-0.2","0.9","A"
"Joe Gibbon","1004658","1.3","4.2","0.5","2.5","1.7","1.3","1.5","1.1","-0.5","-0.2","C"
"Charles Nagy","    397","0","3.2","7","0.6","3.5","3.2","5.4","2.9","1.3","3.2","K"
"Doug Henry","1005668","0.8","0.6","-0.2","-0.7","0.5","0.1","0.5","-0.4","-0.6","-0.6","A"
"Randy Jones","1006582","1.7","2.5","4.3","4.6","1.5","4.1","3.6","1.2","-0.9","-0.3","K"
"Tom Candiotti","1001911","0.6","0.2","4.3","1.3","4.5","4.4","2.3","5.8","3.5","4.2","F"
"Dick Ellsworth","1003754","2.3","2.2","2.2","6.6","1.7","3","4","1.1","3.3","1.9","I"
"Mike Remlinger","    111","-0.2","-0.4","2.2","1.1","1","1","1.5","1.5","0.1","0.6","B"
"Jesse Orosco","    667","-0.3","1.3","2.2","1","0.9","0.4","1.6","-0.4","1.1","-0.5","A"
"Francisco Rodriguez","   1642","0.6","3.7","1.5","2.4","1.9","1.5","0.7","1.5","1.3","0.2","C"
"Dock Ellis","1003747","0.7","4.2","3.4","3.7","3.9","4.4","3","1.9","1.2","3.1","K"
"Alex Fernandez","1003993","1.4","2.7","1.8","4.1","2.4","4.5","4.7","3.3","3.1","0.6","M"
"Mike Flanagan","1004133","0.6","4.4","4.5","6","2.9","1.5","2.7","1.8","2.4","0.3","I"
"Rick Honeycutt","1005992","1.5","2.2","2.5","1.5","0.9","2.8","1.9","1.5","3.1","1.8","D"
"Tim Belcher","1000789","0.8","4.1","3.3","1.5","4.1","3.1","3","1.2","1.7","3.8","I"
"Steve Carlton","1001964","0.9","4.4","4","4.9","3.6","3.1","11.1","4.5","5.3","3.5","J"
"Jim Kaat","1006660","-0.3","3.8","5.4","1.9","4.7","4.3","6.4","6.4","3.9","3.5","J"
"Eric Plunk","1010400","-0.5","1.1","0.8","0","0.2","-0.1","0.3","1.5","1.6","1.1","A"
"Bill Singer","1012007","4.7","4.2","6.1","2","2","2.3","6.2","2.6","0.6","1.8","K"
"Braden Looper","    526","0.5","0.1","0.1","0.5","1.2","1.7","-0.6","1.1","1.4","1.4","A"
"Joaquin Andujar","1000266","0.9","1.2","0.6","1.3","1.1","0.6","5.5","1.6","3.1","3.1","D"
"Andy Messersmith","1008799","1.3","5","2.3","3.5","3.5","3.2","5.6","5.9","3.7","1.4","M"
"Dwight Gooden","1004852","8.3","8.9","4.8","4.5","6","1.8","6.8","4","3.5","3.7","N"
"Kyle Farnsworth","    278","-0.4","-0.3","2","-0.4","1.2","0.3","1.5","1.1","-0.2","-0.7","A"
"Doug Brocail","    551","1","-0.2","-0.2","0.4","1.7","1.8","0.8","0.8","1.1","0","A"
"Randy Wolf","    976","0.8","2.9","3.4","3.9","2.5","1.7","0.7","-0.1","1.9","2.6","I"
"Derek Holland","   4141","0.6","0.9","3.2","1.5","4.5","1.3","-0.1","1.1","-0.9","2.2","B"
"Gio Gonzalez","   7448","-0.7","1.1","3.2","3.3","5","3.2","3.2","3.6","2.8","3.7","F"
"Mark Davis","1003067","-0.3","0.5","0.4","1.5","1.6","0.8","2.8","2.2","-0.6","0","B"
"Joe Horlen","1006025","1.4","0.7","4.5","4","3.1","3.5","1.6","3.5","2.5","2.4","F"
"Paul Byrd","    594","-0.3","-0.1","0.8","0.5","-0.1","1.4","3.1","1.7","3.3","1.7","D"
"Jon Lester","   4930","1","0.2","4.2","5.4","5","2.6","2.4","3.3","5.4","4.8","F"
"Stan Bahnsen","1000414","4.4","1","2.3","2.2","3.2","3.3","1.1","1.7","1.1","0.8","H"
"Denny Lemaster","1007512","0.8","1.4","1.9","1.8","2","2.3","2.7","3.8","0.7","-0.1","E"
"Steve Trout","1013197","2.1","3.2","1.8","1.5","2.4","3.4","1.3","2","1.6","-0.2","C"
"Danys Baez","    367","0.7","2.2","0.8","0.5","0.4","0.9","-0.9","0.1","-0.4","-0.3","A"
"Mike Williams","   1014","0.2","0.1","0.5","0.4","1.6","0.3","0.4","0","0.4","-0.6","A"
"Max Scherzer","   3137","1.1","2.7","4","2.3","4.5","5.9","5.6","6.4","5.6","6.3","J"
"Doug Bird","1000976","1.1","1.5","1.6","2.8","1.4","0.8","0","0.4","1.5","1.1","B"
"Keith Foulke","    231","0","0.4","2.9","2.5","2.6","1.3","1.8","1.6","-0.4","0.1","B"
"Mariano Rivera","    844","0.3","4.3","2","1.2","2.1","1.9","3.2","1.4","2.5","2.5","I"
"Jonathan Papelbon","   5975","0.3","3.1","2.1","2.8","1.9","1","3","1.4","1.1","2","I"
"Mudcat Grant","1004952","-0.7","1.6","0","1.6","1.7","3","3.6","1.1","0.5","-0.3","D"
"Fred Norman","1009632","-0.9","-0.5","1.1","2.2","1.6","3.2","0.6","2.7","1.8","0.8","E"
"Bill Swift","1012788","1.9","1.5","1.8","1.5","2.6","1.6","2.7","4.5","1.6","1.5","E"
"Mark Buehrle","    225","0.6","4","4.3","4.3","4.5","5.9","1.7","3.3","4.3","3","L"
"Jose Rijo","    349","0.6","1.3","1.7","0.8","3.8","2.1","4.5","6.1","5.1","7.1","J"
"Joe Smith","   3281","0.2","0.3","0.2","-0.2","1.3","0.8","0.5","0.9","0.9","-0.3","A"
"Jim Bibby","1000945","0.3","1.9","1.9","2.6","2.5","3.8","1","2.5","2.6","1.7","E"
"Mike Maddux","1007951","0.7","0.7","0.4","1.4","1.5","1.1","-0.1","2.1","-0.3","0.7","A"
"Juan Berenguer","1000865","0.6","-0.3","1.5","2.2","0.9","0.8","2.3","0.8","0.3","-0.1","B"
"Dick Hall","1005241","1.9","2.7","2.2","1.1","0.7","1.6","0.3","0.9","-0.1","1","C"
"Johan Santana","    755","0","0","3.4","3.7","6.8","7.1","6.7","4","5.3","3.5","J"
"Trever Miller","   1672","0.1","-0.4","0","0.9","-0.3","0.6","0.1","0.6","0.5","0.1","A"
"Johnny Cueto","   6893","1","1.4","2.5","3","4.3","0.7","4.5","4.1","4.9","1.2","F"
"Ross Grimsley","1005071","1","1.4","1.6","4.2","0.9","1.1","0.7","2.7","0.2","-0.2","B"
"Adam Eaton","   1029","1.6","1","0.1","2.5","2.4","1.7","0.4","-0.1","0.3","-0.2","B"
"Jerry Johnson","1006464","0.3","0.3","0.1","0.3","0.3","-0.2","0.2","-0.3","0.1","-0.4","A"
"Tom Gordon","    282","2.4","2.5","1.6","1","2.5","2.2","3.5","2.8","4.4","2.7","F"
"R.A. Dickey","   1245","1.3","0.6","-0.1","-0.4","2.8","2.6","4.6","1.9","1.7","1.8","D"
"Rudy Seanez","   1279","-0.3","0.9","1","0.2","0","0.9","1.5","-0.2","0.5","0.2","A"
"Fergie Jenkins","1006388","1.8","4.5","6.3","8.2","9.5","9.6","4.8","4.2","7.8","2.7","O"
"Don Sutton","1012745","4.7","3","4","3.9","1.9","7.1","6.8","6","4.7","5.4","J"
"Jose Mesa","    961","-0.1","0.5","0.8","0.9","2.9","1.7","2.1","1.4","1","0.4","B"
"Matt Garza","   3340","0.6","1.1","3.3","2.8","2.1","4.7","0.9","2.1","2.5","0.4","H"
"Bobby Bolin","1001146","-0.4","0.6","1.4","1.4","1.6","1.9","-0.6","2.6","1","0","B"
"Steve Hamilton","1005277","1.7","1.1","0.8","1.3","0.7","0","1.1","-0.1","0.5","0.5","A"
"Don Robinson","1011061","3.4","2.5","2.1","-0.5","1","0","2","0.8","0.5","1.5","C"
"CC Sabathia","    404","2.7","3.6","3.5","2.8","3.6","5","6.4","7.4","5.8","5.5","J"
"Fernando Rodney","    494","0.4","0.5","0.6","0.3","0.3","0.2","-0.4","2.2","1.2","1","A"
"Ron Darling","1002989","0.6","1","2.2","3.5","2","2.6","2.7","0.2","1.5","2.5","I"
"Jeff Montgomery","1009071","-0.1","2.7","1.6","1.6","1.4","2.6","1","0.8","-0.3","0.4","C"
"Dan Wheeler","    120","0.2","0.2","0.3","1.1","1.7","0.8","0.3","0.1","0.1","0.3","A"
"Terry Mulholland","    665","0.2","0.6","1.4","2.4","4.6","3.8","2.9","0.5","0.1","2.5","H"
"Dan Haren","   1757","0.7","0.5","3.7","3.8","4.7","6.1","5.3","3.6","5.9","1.8","L"
"Larry Andersen","1000236","1.1","-0.7","0.8","0.4","0.8","1.3","1.4","2.3","2.7","1.7","D"
"Tony Cloninger","1002359","-0.4","1.1","0.1","2.7","3.8","1.5","-0.2","0.4","0.1","0.4","B"
"Turk Farrell","1003950","1.6","0","5.3","4.3","1.2","3.3","1","1.3","-0.4","-0.3","G"
"Tommy John","1006515","1.1","3","3.8","2.6","2.9","3.8","4.4","4.5","3","3.3","F"
"Milt Pappas","1009989","3","1.4","1.2","2.1","4.8","3","3.7","3.8","2.2","1.4","M"
"Brad Radke","    748","0.8","2.8","4.9","4.2","3.7","4.2","4.5","2.1","2.8","5","F"
"Esteban Loaiza","   1310","1.2","-0.2","2.9","1","2.5","2.9","2.1","2.3","6.9","1.2","F"
"Cal Eldred","   1653","2.6","2.9","1.3","1.3","0.8","1.1","-0.4","1.9","0.3","0.2","C"
"Phil Hughes","   7450","1","0.4","2.3","3.1","0.5","1.9","1","6.4","1.2","0.3","E"
"Dave Giusti","1004748","0.4","1","2","2.7","3.8","1.2","1.3","0.4","1.1","0.2","B"
"Greg Harris","1005415","0.4","0.2","0.3","2","1.4","1.7","-0.1","-0.1","2.6","2.5","B"
"Jerry Reuss","1010853","2","1.4","2.8","4","2.5","4.6","2.9","3.9","1","2.9","M"
"Pedro Astacio","    862","1.8","2.6","1.5","1","2.6","3","1.6","4.2","3.5","3.2","E"
"Jeff Nelson","   1092","-0.5","0.4","0.4","2.2","1.3","1","0.4","0.3","1.3","1.1","B"
"Mike Bielecki","1000951","-0.3","1","0.5","0.4","3.2","1.8","1","2","0.7","0","B"
"Jeff Weaver","    503","1.6","3.1","4","4.1","2.2","4.3","2.4","0.3","0.9","0.5","K"
"George Brunet","1001590","0.1","1.1","-0.3","0.6","3.8","0.9","2.6","1.7","0","1.5","B"
"Russ Ortiz","   1124","0.4","1.7","1.1","4.4","2.9","3","1.6","-0.3","-1","0.4","B"
"Bob McClure","1008400","1.4","-0.5","-0.1","0.6","0.8","0.9","1.6","0.2","0.9","-0.3","A"
"Brandon McCarthy","   4662","0.5","0","1.1","1","4.5","1.9","1.6","2.6","0.6","2.1","E"
"Rick Rhoden","1010887","0.7","1.2","3.2","1.6","1.7","2","3.6","5","4.3","2.7","F"
"Andy Ashby","    637","0","-0.4","0.1","3.2","3.3","1.8","3.8","3.2","2.7","1.9","E"
"John Burkett","    179","2.5","2.3","2.8","4.5","2.4","2.2","4.6","4.6","4.1","2.4","M"
"Tom Burgmeier","1001668","-0.1","-0.1","0.5","0.6","-0.2","0.2","0.6","-0.3","-1.1","-0.3","A"
"Mike Krukow","1007185","2.7","1.7","2.3","2.9","2.1","3.8","2","1.4","3.5","4.2","F"
"Juan Marichal","1008106","1.6","2.3","1.7","6.7","6.4","6.8","6.3","3.7","5.9","7.8","J"
"John Montefusco","1009065","0.7","6","5.2","3.1","2.9","0.7","0.4","0.1","1.8","1.7","G"
"Paul Assenmacher","1000344","0.8","-0.2","1.1","1.6","1.4","2.2","0.7","0.5","0.7","0.8","B"
"Scott McGregor","1008546","1.2","3.5","2.8","4.9","2.4","1.9","3.7","2.1","0.6","0.9","I"
"Jamey Wright","    715","1","0.6","1.5","1","1.8","0.8","-0.2","0.6","0.6","0.8","A"
"Mike Trombley","    758","0.6","0.7","-0.4","0.4","1.7","1","-0.1","0.5","-0.4","0.5","A"
"Heathcliff Slocumb","1012069","0.1","-0.2","0","1.6","1.2","1.9","0.2","0.2","0.6","-0.2","A"
"Hoyt Wilhelm","1013945","2.6","1.7","1.7","2.6","1.9","1.4","0.9","1.2","1.4","1.3","C"
"Zach Duke","   3840","2.2","3.2","0.7","2.7","2.9","0.2","0.6","0","1.3","-0.5","C"
"Jack Aker","1000097","0.2","1.2","0","-0.7","-0.2","0.6","-0.1","0.3","-0.3","-0.4","A"
"Chuck McElroy","1008477","0.7","0.5","0","1.2","0","0.6","1.4","1.9","-0.2","0.5","A"
"Jeff Shaw","1011823","-0.4","0","-0.3","0.4","0.3","1.2","2.3","1.2","1.1","0.5","D"
"Todd Worrell","1014259","0.3","2","0.8","0.1","0.9","0","0.8","1.4","1.5","-0.4","A"
"Roger Clemens","    815","3.4","2.3","7.1","8.4","9.2","5.1","8.2","8.5","7.6","3.7","O"
"Jim Johnson","   3656","1","0.3","1.3","1.3","0.9","-0.7","0.3","1.4","0","-0.3","A"
"Jim Barr","1000606","0.2","1.9","2.5","3.3","2.7","3.6","3.1","2.1","1.6","-0.7","H"
"Eddie Fisher","1004085","-0.4","2.2","1","0.4","0.5","0.6","0.1","0.2","0.2","0.2","A"
"Steve Hargan","1005356","0.9","4.7","4.2","0.4","0.7","1.8","-0.9","2.6","1.9","0.8","G"
"Eric Show","1011937","1.5","0.8","1","1.6","1.3","1.3","3","1.1","-0.4","0.1","B"
"Carl Pavano","    790","0.9","2.1","1.8","0.4","0.8","3.3","4.5","0.6","0","3.5","D"
"Greg Minton","1008986","0.7","1.1","0.5","0.7","-0.4","-0.5","-0.7","-0.1","0.8","1.2","A"
"Edwin Nunez","1009658","0.1","0.3","0.7","0.1","0.2","0","-0.4","1.1","0.3","1.4","A"
"Fernando Valenzuela","1013327","4.9","6.1","4.2","5.2","5.4","6.2","2.3","-0.2","1.6","1.7","N"
"Steve Avery","   1706","1.5","2.6","3.5","5.1","2.5","2.5","2.4","-0.1","0.3","0","G"
"Rick Porcello","   2717","1.7","1.9","2.3","3","2.9","3","1.7","5.1","1.9","2.4","E"
"Paul Lindblad","1007614","0.8","0.3","0.2","0.2","-0.1","0.3","0.2","-0.3","1.5","1.3","A"
"Tom Murphy","1009376","1.3","2.7","0","0.6","0.8","1.5","0.3","0.1","-0.2","-0.2","C"
"Curtis Leskanic","    694","0.2","2.7","0.2","0.4","0.2","1","0.5","0","0.9","-0.7","A"
"Hector Carrasco","   1240","0.4","1","0.1","0.5","0.5","0.7","0.4","0.6","-0.1","1.3","A"
"Russ Springer","   1652","-0.3","0.1","-0.3","0.9","0.9","0.4","0.4","-0.2","0.2","0.1","A"
"Doug Fister","   9425","0.3","3.4","5.4","3.5","4","1.5","0.1","0.8","1.3","0.4","G"
"Don Hood","1005994","0.8","0.7","0.2","-0.3","1.5","0.7","0.4","0.6","0.1","-0.2","A"
"Jim Perry","1010213","1.4","1","1.9","1.5","0.6","1.7","2.9","1.8","2.3","5.5","D"
"Pete Richert","1010922","1","0.4","0.1","2.8","2.4","2.5","0.1","0.7","0.8","0.1","B"
"Mario Soto","1012289","-0.2","-0.1","3.1","3.3","7.4","4.5","2.5","3.1","0.3","-0.2","H"
"Carlos Zambrano","    305","1.1","4.7","4.7","4.2","3.9","2.8","2.8","3.8","1.9","0.6","K"
"Brian Fuentes","    429","1.1","0.6","1.5","0.9","0.9","2.5","0.3","0.2","0.2","-0.5","A"
"Scott Kazmir","   4897","0.5","3.6","3.6","4.8","2.3","2.2","-1","2.5","3.4","2.3","I"
"Roy Halladay","   1303","0.5","-0.3","4","6.8","7","2.8","3.8","5.1","5.1","6.6","J"
"Aaron Harang","   1451","1.2","1","1.8","4.6","5.7","5.4","1.4","2.2","0.7","1.4","H"
"Dennis Cook","      8","0.1","-0.4","0","0","0.2","0.2","1.5","0.7","1.4","0.1","A"
"Scott Erickson","    137","0.8","3.2","1.9","3.3","2.2","3.4","3.6","4.7","5.2","2","F"
"Tim Wakefield","    219","1.3","-0.5","2.6","1","1.8","1.6","0.7","-0.3","2.2","2.7","B"
"Jeff Reardon","1010741","0.6","0.4","1.7","0.7","1","1.2","0.1","0.7","1.6","0.6","A"
"Bud Norris","   9492","0.5","1.6","2","1.7","2.7","1.3","0","0.7","0.5","0.2","B"
"Bob Knepper","1007031","1.6","4.5","0.1","1.9","2.7","1.6","2.6","1.7","2.8","3.5","I"
"Chris Hammond","     92","1.2","1.2","2.2","1.2","2.4","-0.3","0.9","1.8","1.3","0.6","B"
"Brett Myers","    962","-0.1","2.3","1.1","3.4","3.5","1.2","1.8","-0.5","3.8","1.7","I"
"Gary Bell","1000806","1.4","1.7","0.2","0.6","-0.4","0.7","5","2.8","3.6","-0.7","D"
"Skip Lockwood","1007696","0.6","2.5","1.7","2","-0.2","0.8","2.3","2.3","0.4","0.9","C"
"Brian Moehler","    480","2.1","3.1","3.4","3.3","0.3","2.1","0.3","0","1.4","1.1","G"
"Ken Hill","1005827","1.8","1","2.1","3.2","2.6","2.3","1.4","5.6","1.9","1.7","E"
"Kevin Brown","    642","3.1","2.4","1.5","6.3","4.4","3.4","4.5","6.7","6.5","9.6","J"
"Steve Reed","   1053","-0.5","-0.1","1.7","0.3","-0.3","0.8","0.1","0.3","0.3","1.1","A"
"Salomon Torres","   1628","-0.1","0.2","-0.4","0.7","0.2","0.3","1.3","0.3","1.1","0.1","A"
"Jered Weaver","   4235","2.5","2.9","3.2","3.8","5.8","5.4","3","2.3","1.3","0.8","L"
"Justin Verlander","   8700","2.8","3.7","3.2","8.5","6.6","6.5","6.9","4.8","3.2","3.1","O"
"Kirk McCaskill","1008382","2.2","5.6","0.3","2.6","3.2","2.4","1.3","2.7","1.1","0.3","C"
"Juan Pizarro","1010382","-0.2","3.9","3.9","4.7","3.9","0.9","-0.3","0.4","0","-0.1","G"
"Dan Plesac","   1319","2.5","2.3","1.9","0.9","0.9","0","0.6","-0.2","0.3","1","C"
"Mark Guthrie","    876","0.3","3.4","0.6","1.4","0.2","1","1.1","-1","0.5","-0.1","C"
"Vicente Padilla","    964","1","0.7","3.6","2.7","1.3","0.6","3.2","0.7","1.5","1.7","B"
"Pete Harnisch","1005374","0.2","2","3.3","2.5","3.2","0.3","1.7","0.7","-0.1","3.2","B"
"Tom Henke","1005649","1.1","3.5","3.3","1","3.5","1.5","1.7","0.6","1.6","0.6","G"
"Claude Raymond","1010732","0.2","-1.4","0.8","2","0.3","-0.4","0","-0.2","0.1","-0.2","A"
"Frank Tanana","1012818","3.6","7.2","6","5.8","2.8","1.3","3.5","1.2","2.6","2.6","N"
"Matt Morris","   1172","4.6","2.1","0.9","6.1","4.2","2.8","1.1","2.7","2.3","2.5","L"
"Aaron Cook","   1571","0.3","1","1.2","1","3.6","2.1","4.7","1.4","1.1","0.8","D"
"Clayton Richard","   3551","0.7","1.5","2.2","0.6","0.3","-1","0.4","0.5","2","0.6","A"
"Willie Hernandez","1005714","1.6","-0.4","0","0.8","1.4","1.4","3.2","1.7","0.8","-0.1","D"
"Jeff Fassero","    279","1.3","1.3","3.5","2.9","3.6","5.9","5","3.1","-0.5","1.8","K"
