Name,playerid,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
Ted Power,1010504.0,B,C,C,B,A
Randy Johnson,60.0,M,L,K,O,J
Robb Nen,1123.0,G,I,D,C,E
Rich Rodriguez,1276.0,A,A,A,A,A
Brian Bohanon,1001126.0,A,A,A,G,D
Sid Fernandez,1004001.0,J,G,J,H,I
Omar Olivares,1009771.0,C,D,B,G,D
Camilo Pascual,1010039.0,N,M,M,M,N
Tyler Clippard,5640.0,B,B,C,B,A
Len Barker,1000546.0,M,L,N,K,H
Steve Bedrosian,1000766.0,D,B,B,B,C
Aaron Sele,34.0,G,K,H,C,M
Todd Van Poppel,1284.0,A,A,A,A,A
Brandon Morrow,9346.0,I,I,C,B,B
Bob Locker,1007688.0,D,B,B,G,A
Kevin Tapani,1012824.0,J,M,I,H,K
Frank Castillo,180.0,H,H,E,E,C
Chris Carpenter,1292.0,D,H,H,L,F
Ervin Santana,3200.0,K,I,L,I,I
Shane Reynolds,574.0,N,M,M,H,K
Clay Buchholz,3543.0,F,E,D,F,D
Ron Reed,1010773.0,H,H,H,L,M
Jeff Russell,1011314.0,C,D,B,G,D
Roberto Hernandez,605.0,I,C,C,B,C
Kip Wells,1012.0,B,I,C,B,B
Milt Wilcox,1013939.0,A,D,D,G,D
