"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","Cluster"
"Sid Fernandez","1004001","0.9","3.1","4","1.9","3.3","3.2","3.2","0.8","4.9","0.9","0.3","K"
"Omar Olivares","1009771","0.6","1.5","1.5","-0.1","-0.5","0","2","1.9","1.6","2.7","0.8","D"
"Steve Bedrosian","1000766","2.6","1.4","1.8","1.7","0.3","0.8","0.6","-1.1","-0.6","-0.8","0.4","C"
"Aaron Sele","     34","2.6","2.4","0.4","3.3","0.8","4.7","4.9","4.3","2.7","1.3","-0.1","F"
"Brandon Morrow","   9346","0.3","0.5","0.3","3.2","2.9","2.5","-0.2","0.4","0.4","1.6","0.7","B"
"Kevin Tapani","1012824","0.6","3.5","4.6","4.5","4.3","3.4","2.2","2.7","1.6","2.1","2.6","K"
"Chris Carpenter","   1292","1.1","2.8","2.9","0.7","2.3","0.5","3.1","6.3","5","5.1","2.8","M"
"Ervin Santana","   3200","1.6","3","0.8","5.3","0.8","2.1","2.5","-0.8","2.6","3.2","1.5","J"
"Ron Reed","1010773","2.6","3.9","1.5","2.9","3.1","2.5","3.3","6.9","2.2","1.7","1.8","F"
"Jeff Russell","1011314","0.7","1.7","0.3","0","0.3","2","2.1","-0.2","1.2","1.8","0.2","A"
"Roberto Hernandez","    605","1.7","1.9","0.8","1","3.2","1.2","0.4","2.2","1","0.5","0.6","B"
"Kip Wells","   1012","0.9","0.7","1.4","2.3","2.1","1.9","0.4","0.4","0.9","-0.2","0","B"
"Milt Wilcox","1013939","0.2","0.2","0.8","-0.5","-0.1","1.5","3","2.8","2","2.8","2.4","D"
