Player,IP,K/9,BB/9,HR/9,ERA+,zWAR
Zach Phillips,41.3,9.15,4.14,0.87,99,0.2
Brandon Gomes,57.7,8.27,2.5,1.09,101,0.2
Manny Parra,37.3,8.69,2.9,0.97,106,0.2
J.J. Hoover,63.3,9.1,4.12,1.14,100,0.2
Layne Somsen,55.3,8.3,4.39,0.98,91,0.2
Brian Ellington,63,8,4.14,0.71,104,0.2
Bryan Morris,66.7,6.75,3.78,0.67,102,0.2
Chris Narveson,78,7.04,3.46,1.27,84,0.2
Raudel Lazo,25.3,8.18,2.49,0.71,109,0.2
Bryan Shaw,68.7,8.12,2.75,0.92,103,0.2
Jeff Manship,56.3,8.15,3.2,0.96,102,0.2
Jason Motte,44,7.36,2.25,1.23,104,0.2
"Austin House, M.D.",59.7,6.63,3.62,0.9,99,0.2
Christian Friedrich,66.3,7.33,3.67,1.22,89,0.2
Miguel Castro,60.3,7.46,3.58,1.04,97,0.2
Sam Moll,44.7,7.05,2.82,1.01,101,0.2
David Paulino,53,7.47,3.23,1.19,86,0.2
Thomas Shirley,67,6.85,3.09,1.21,84,0.2
Kyle Zimmer,56.3,7.51,3.2,1.12,90,0.2
Cam Bedrosian,68.3,10.28,4.35,0.79,101,0.2
Jose Alvarez,67.7,8.11,3.06,0.8,100,0.2
Jacob Rhame,60.3,9.85,2.84,1.04,101,0.2
Adam Liberatore,55.7,8.89,3.23,0.81,102,0.2
Jeremy Kehrt,99.3,5.62,2.36,1,82,0.2
Michael Bowden,76.7,6.57,3.29,1.06,87,0.2
Ricky Nolasco,105.7,6.9,2.21,1.19,81,0.2
Neal Cotts,58.7,8.43,3.07,1.07,100,0.2
Ryan Pressly,62,7.26,3.48,0.73,98,0.2
Fernando Abad,50,8.1,2.88,1.08,101,0.2
CC Sabathia,124.7,7.51,2.67,1.44,79,0.2
Fernando Rodriguez,54,9,3.83,1,101,0.2
Luis Garcia,63,9,4.29,0.71,97,0.2
Dan Otero,70.7,5.86,1.53,0.76,95,0.2
Reinier Roibal,60,8.1,2.4,1.2,86,0.2
Chad Kuhl,135.7,5.57,2.92,1.06,80,0.2
Curtis Partch,60.3,8.96,4.03,0.75,102,0.2
A.J. Morris,68.7,6.42,3.54,0.66,90,0.2
John Holdzkom,31,10.45,5.52,0.58,105,0.2
Jorge Rondon,67.3,6.82,3.08,0.53,97,0.2
Trevor Williams,129,5.72,2.79,0.98,79,0.2
Matt Belisle,47.7,7.17,2.83,0.57,107,0.2
Seth Maness,71.3,6.19,1.77,0.88,101,0.2
Justin Wright,58,7.45,3.57,0.78,99,0.2
Jerry Sullivan,51.7,8.7,3.13,0.7,99,0.2
Marcos Mateo,44.7,9.46,3.62,0.81,101,0.2
Zack Segovia,59,6.86,2.75,1.07,81,0.2
Josh Osich,57.7,8.42,3.59,0.78,103,0.2
Mike Broadway,42.3,9.36,2.55,0.85,111,0.2
Tim Hudson,123,4.98,2.27,0.88,82,0.2
Chase Johnson,115,6.97,4.15,0.78,82,0.2
Evan Scribner,60,9.6,1.5,1.35,97,0.2
Mike Montgomery,129,6.35,3.49,0.98,78,0.2
Vidal Nuno,118.3,7.38,2.28,1.45,80,0.2
Andrew Faulkner,109.7,7.47,4.18,1.31,83,0.2
Ben Rowen,59.3,5.92,2.28,0.76,102,0.2
Keith Hessler,67.7,8.51,2.66,1.06,103,0.1
Enrique Burgos,53.7,11.9,5.2,1.01,103,0.1
Archie Bradley,75.7,7.37,4.76,1.07,83,0.1
Matt Reynolds,42.7,8.01,2.74,1.26,99,0.1
Chris Withrow,29.3,10.44,5.22,0.92,104,0.1
Tyler Jones,55.7,8.4,4.04,0.81,99,0.1
Peter Moylan,37.3,7.48,3.38,0.72,99,0.1
Michael Kohn,36.7,9.81,5.64,0.98,97,0.1
Kanekoa Texeira,71,6.46,4.31,1.01,81,0.1
David Aardsma,44.3,9.55,4.06,1.02,99,0.1
Jim Johnson,64,7.31,3.09,0.7,97,0.1
Cesar Cabral,46.3,8.16,4.86,0.78,98,0.1
Steve Johnson,74.7,8.67,4.46,1.33,83,0.1
Noe Ramirez,62,7.26,3.48,0.87,100,0.1
Anthony Varvaro,37.7,6.45,3.1,0.72,100,0.1
Clayton Richard,67,4.97,2.28,1.07,83,0.1
Rafael Soriano,24,7.88,2.63,1.13,101,0.1
Dayan Diaz,63.3,8.53,4.12,1,96,0.1
Amir Garrett,121.7,7.76,5.18,1.18,79,0.1
Nate Adcock,39.7,8.16,3.85,0.91,94,0.1
Troy Patton,33.7,7.48,2.67,0.8,103,0.1
Matt Ramsey,43.7,9.06,5.35,0.62,99,0.1
Joe Thatcher,30.3,8.61,2.97,0.89,98,0.1
C.C. Lee,53,9,3.06,0.85,96,0.1
Scott Oberg,54,7.17,4,1.17,96,0.1
Jordan Jankowski,62.7,9.9,4.74,0.86,98,0.1
Brendan McCurry,60.7,9.19,3.26,1.04,98,0.1
Luke Hochevar,45.3,8.54,2.98,1.19,107,0.1
Louis Coleman,66.3,8.01,3.67,0.95,102,0.1
Jonathan Dziedzic,106.7,5.31,3.04,1.18,82,0.1
Brian Flynn,85.7,5.78,3.47,1.05,83,0.1
Yohan Pino,103,6.73,2.62,1.4,84,0.1
Jeremy Guthrie,143.3,5.09,2.51,1.26,82,0.1
Rob Rasmussen,56.7,8.57,3.97,0.63,98,0.1
Mike Morin,64.7,8.49,2.36,0.97,100,0.1
Greg Mahle,51,8.12,3,0.88,96,0.1
David Huff,73.3,6.75,2.21,1.11,87,0.1
Joel Peralta,40,9,2.25,1.13,95,0.1
Matt West,61.3,8.37,2.64,1.03,95,0.1
Tyler Thornburg,64.7,8.35,4.31,0.83,97,0.1
Blaine Boyer,59.3,5.92,2.43,0.76,97,0.1
Josh Edgin,31,8.71,3.77,0.87,102,0.1
Jeff Walters,35,8.23,2.57,0.77,99,0.1
Buddy Carlyle,25.3,8.54,2.49,1.07,100,0.1
Erik Goeddel,58,8.69,3.41,0.78,96,0.1
Akeel Morris,55.7,11.63,5.33,0.97,96,0.1
Sean Nolin,88,6.55,3.68,1.23,80,0.1
Marc Rzepczynski,47,8.23,3.64,0.77,101,0.1
Aaron Brooks,149,5.74,1.93,1.27,79,0.1
Kenneth Roberts,58.7,6.75,2.15,0.77,94,0.1
Chris Leroux,61.3,7.05,3.38,1.17,80,0.1
Jeanmar Gomez,66.3,6.38,2.85,0.81,92,0.1
Edubray Ramos,53.7,8.04,2.68,1.01,93,0.1
Matt Harrison,37.7,5.73,3.82,0.95,78,0.1
Miguel A. Gonzalez,58,6.98,3.57,1.09,78,0.1
Jeff Inman,32,7.03,2.81,0.56,100,0.1
Josh Wall,44.7,7.85,3.42,0.6,95,0.1
Jameson Taillon,67,5.78,3.63,0.81,80,0.1
Randy Choate,26.7,7.42,2.36,0.67,103,0.1
Dean Kiekhefer,63.3,5.83,1.42,0.85,100,0.1
Juan Gonzalez,54.7,7.07,4.11,0.66,97,0.1
Cesar Vargas,72.3,8.59,2.99,0.87,96,0.1
Josh Johnson,69,7.43,3.39,0.78,78,0.1
Caleb Thielbar,53.7,7.54,3.52,0.67,94,0.1
Jon Edwards,53.7,10.89,5.7,0.84,94,0.1
Javier Lopez,31.3,6.61,3.74,0.58,102,0.1
Ray Black,28.7,12.23,6.59,0.94,94,0.1
Derek Law,27.7,9.1,4.87,0.65,99,0.1
Ty Blach,140.7,5.44,2.37,0.96,80,0.1
Vin Mazzaro,63,6.71,3.43,0.57,99,0.1
Blake Parker,31.7,9.94,3.41,1.14,99,0.1
Jake Diekman,65.3,9.37,4.55,0.83,99,0.1
Sam Freeman,57,8.05,4.74,0.79,100,0.1
Anthony Ranaudo,134,6.11,3.69,1.41,79,0.1
Ross Wolf,83.7,3.87,2.8,0.97,81,0.1
LaTroy Hawkins,41.3,6.97,2.18,0.87,103,0.1
Steve Delabar,52,10.21,4.5,1.21,97,0.1
Ryan Tepera,63.3,8.25,2.99,1.14,98,0.1
Evan Meek,67,6.45,4.03,0.81,90,0.1
Abel de los Santos,59.7,7.99,2.86,1.21,95,0.1
Scott Rice,32.3,8.92,5.29,0.84,102,0
Jake Barrett,56.3,7.83,3.68,0.96,95,0
Danny Burawa,68.7,8.78,4.85,0.92,91,0
Ross Detwiler,67.3,6.42,3.48,0.94,84,0
Todd Redmond,79.3,6.58,3.4,1.02,86,0
Zeke Spruill,110,5.24,3.11,1.06,81,0
Onelki Garcia,43.3,9.15,5.4,1.25,86,0
Chris Beck,105.3,5.04,3.08,1.28,76,0
Terance Marin,79,5.47,2.73,1.25,79,0
Matt Lindstrom,33.7,6.14,2.94,0.8,91,0
Blake Cooper,64.3,7.7,4.2,0.7,97,0
Spencer Patton,64.3,10.22,3.64,1.26,97,0
Drew Rucinski,105,6.94,3.51,1.29,79,0
Armando Rivero,53.3,9.79,4.39,1.01,94,0
Fernando Rodney,55.3,8.79,4.07,0.98,93,0
Carlos Contreras,73.3,9.09,5.89,1.11,85,0
Michael Lorenzen,134,6.25,3.63,1.28,78,0
Sean Marshall,11.7,8.46,3.85,0.77,83,0
Jake Esch,111.3,5.74,3.56,1.05,80,0
Travis Blackley,54,6.33,3,1.33,83,0
Sean Donatello,45.7,6.89,2.76,0.98,93,0
Dylan Baker,60,6.15,5.25,0.75,78,0
Matt Flemer,135,4.53,2.47,1.53,78,0
Simon Castro,82.7,6.75,3.48,1.41,82,0
Bruce Rondon,45,9.2,4.6,1,93,0
Joe Jimenez,35.3,9.69,3.31,1.27,95,0
Samuel Deduno,66.7,6.61,4.86,1.08,79,0
Juan Minaya,55.7,8.4,3.88,0.97,94,0
Dan Straily,150,8.22,2.94,1.5,79,0
Franklin Morales,67.7,6.65,3.06,0.93,98,0
Ryan Verdugo,68.3,7.38,4.08,1.05,84,0
Deolis Guerra,54.3,8.45,2.49,1.16,94,0
Luis Avilan,58.3,6.79,3.24,0.77,94,0
Chris Anderson,104,7.7,4.76,0.95,79,0
Mike Adams,19.3,8.39,3.26,0.93,97,0
Juan Jaime,45,11.4,6.8,0.8,96,0
Ross Stripling,96.7,6.51,3.07,1.02,78,0
Ian Thomas,68.7,8.65,3.41,1.18,84,0
Tim Dillard,53.7,6.7,3.85,1.01,86,0
Cesar Jimenez,69.3,7.27,3.51,1.04,91,0
Zach Jones,39,10.38,5.54,1.15,89,0
J.R. Graham,49.3,6.94,3.1,0.73,95,0
Scott Atchison,35.3,6.12,2.04,1.02,92,0
Mark Hamburger,67,6.72,3.22,1.07,85,0
J.T. Chargois,36.3,8.18,4.21,0.99,90,0
James Pazos,53.3,8.95,3.88,1.01,94,0
Diego Moreno,54,7.17,3.17,1,88,0
Robert Gsellman,122,5.61,3.1,0.89,78,0
Carlos Torres,80.3,8.63,3.36,1.01,94,0
Bobby Wahl,35,8.23,3.86,1.03,94,0
John Axford,54.7,9.54,4.94,0.99,94,0
Elvis Araujo,46.7,9.44,4.63,0.77,92,0
A.J. Achter,71.3,9.09,3.03,1.26,90,0
James Russell,48.3,7.08,2.8,0.93,91,0
Jonathan Pettibone,66,5.45,3.14,0.95,76,0
Jeff Francoeur,4.3,8.37,4.19,2.09,90,0
Ethan Martin,54.3,7.13,3.81,0.99,84,0
Marcus Hatley,52.7,7.34,3.93,0.85,93,0
Ryan Buchter,54.7,10.53,6.09,0.66,91,0
Cory Luebke,17.3,7.8,3.12,1.04,83,0
Albert Suarez,97.3,5.83,2.77,1.11,79,0
Adalberto Mejia,77.3,6.29,3.49,0.93,80,0
Cory Gearrin,36.7,8.34,3.43,0.74,96,0
Edwin Diaz,124.7,7.51,3.61,1.15,77,0
Jonathan Aro,77,7.83,3.04,0.94,89,0
Bo Schultz,59.3,7.44,3.19,1.21,95,0
Sam Runion,59.3,6.98,3.19,0.91,94,0
Juan Gutierrez,58.7,6.75,2.91,0.92,93,0
Aaron Laffey,111.7,4.83,3.38,0.97,79,0
Stephen Shackleford,57.7,7.8,4.68,0.78,92,0
Donnie Veal,39,8.08,4.15,0.92,92,-0.1
Brandon Cunniff,47,9.19,5.17,1.15,91,-0.1
Andrew McKirahan,44.3,7.92,3.05,1.02,90,-0.1
Carlos Fisher,44.3,9.95,5.89,1.02,90,-0.1
Vance Worley,114.3,5.91,2.28,1.42,78,-0.1
Brandon Workman,104,6.84,3.29,1.38,78,-0.1
Jess Todd,68.3,5.93,4.08,1.05,81,-0.1
Tommy Kahnle,63,9.86,5.29,1.14,90,-0.1
Scott Carroll,99.3,5.17,3.35,1.27,77,-0.1
Daniel Schlereth,16,7.31,6.19,1.13,84,-0.1
Blake Wood,47.3,10.08,5.14,0.95,92,-0.1
Blake Logan,72.3,7.47,3.24,1.24,86,-0.1
Dylan Axelrod,120,6.15,2.78,1.28,79,-0.1
Dustin McGowan,58.3,6.95,4.79,0.93,86,-0.1
Anthony Swarzak,95.3,6.04,2.74,0.94,83,-0.1
Rafael Betancourt,28.7,7.21,3.76,1.25,89,-0.1
Gonzalez Germen,69.7,7.75,4.39,1.16,91,-0.1
Jairo Diaz,69.3,7.66,4.29,1.17,91,-0.1
Shane Greene,127,6.02,2.91,1.2,78,-0.1
Joe Nathan,19.7,8.22,4.11,0.91,90,-0.1
Drew VerHagen,61.3,5.58,3.82,0.73,93,-0.1
Kyle Ryan,148.3,4.86,2.97,1.15,79,-0.1
Francis Martes,99,7.09,3.36,1.36,77,-0.1
Kevin Chapman,63,9.43,5.14,0.86,92,-0.1
Tim Collins,47,8.62,4.21,0.96,96,-0.1
Jeremy McBryde,60.3,8.36,3.58,0.9,93,-0.1
Ramon Troncoso,42.7,5.9,2.74,0.84,91,-0.1
Ryan Dennick,56.3,6.87,2.72,0.96,91,-0.1
Brandon League,36.7,5.89,2.94,0.74,87,-0.1
Eric Stults,136,5.89,2.18,1.19,77,-0.1
Scott Baker,72,6.38,1.75,1.5,76,-0.1
Brandon Beachy,51.7,6.79,4,1.22,74,-0.1
Mitchell Lambson,58.3,8.18,3.24,1.23,90,-0.1
David Hurlbut,85.3,4.64,2.95,1.06,77,-0.1
Brandon Kintzler,48,5.81,2.44,0.94,89,-0.1
Caleb Cotham,52.3,8.95,2.75,1.38,92,-0.1
Nick Rumbelow,65.7,9.45,2.88,1.37,90,-0.1
Jose De Paula,50,5.22,3.24,1.26,76,-0.1
Sergio Santos,27.7,10.07,4.22,1.3,87,-0.1
Chris Martin,51.3,7.72,2.98,1.05,90,-0.1
Wilking Rodriguez,15.7,8.6,3.44,1.15,86,-0.1
Eric O¡¯Flaherty,28.7,7.21,3.14,0.94,87,-0.1
Stolmy Pimentel,91.3,7.2,3.84,1.18,79,-0.1
Aaron Kurcz,55,9.16,5.24,0.98,91,-0.1
R.J. Alvarez,54.7,9.38,4.61,0.99,90,-0.1
Eric Surkamp,100.3,6.82,2.87,1.35,80,-0.1
Mario Hollands,34,7.41,3.71,0.79,88,-0.1
Rob Scahill,60.7,6.97,3.26,0.89,91,-0.1
Jeremy Bleich,70.3,6.15,3.84,0.77,81,-0.1
Charlie Leesman,55.7,7.11,4.69,1.13,75,-0.1
Ryan Sherriff,61.7,5.54,3.21,0.88,85,-0.1
Odrisamer Despaigne,120.7,5.97,2.68,0.97,77,-0.1
Dale Thayer,50.7,8.17,3.02,1.07,89,-0.1
Scott Elbert,18.7,8.66,3.85,0.96,90,-0.1
Steven Okert,66.3,9.5,3.8,0.95,93,-0.1
Edwin Quirarte,67.3,5.88,3.34,0.67,85,-0.1
Jacob Smith,66.3,9.5,4.34,0.95,90,-0.1
Justin De Fratus,66.7,7.15,3.78,0.67,90,-0.1
Jared Burton,37,7.78,3.41,1.22,94,-0.1
Robert Coello,64,7.03,4.64,1.27,81,-0.1
Tanner Scheppers,49.7,7.42,4.16,1.09,91,-0.1
John Fasola,43.7,8.03,3.09,1.44,91,-0.1
Jimmy Reyes,60.7,5.49,3.26,1.04,86,-0.1
Kyuji Fujikawa,14.7,7.96,3.67,1.22,84,-0.1
Pat Venditte,44.3,8.13,3.25,1.42,86,-0.1
Matt Spann,105.3,5.3,4.27,0.94,78,-0.1
Jimmie Sherfy,52.7,8.71,4.27,1.2,89,-0.2
Tyrell Jenkins,106,5.69,3.91,1.19,76,-0.2
Nick Masset,43.7,7.62,4.53,0.82,88,-0.2
Alex White,75.3,6.22,4.42,1.08,76,-0.2
Ryan Kelly,55,8.18,3.76,1.31,87,-0.2
Lucas Sims,111.3,7.12,5.01,1.21,75,-0.2
Chris Jones,114,5.61,2.76,1.34,79,-0.2
Jason Stoffel,60.7,7.71,4.15,1.04,90,-0.2
Jon Keller,69.7,6.71,4,1.03,88,-0.2
Cody Winiarski,41.7,8.63,4.32,1.29,83,-0.2
Javy Guerra,34,6.88,3.97,1.32,82,-0.2
Edgar Olmos,58.7,6.75,4.45,0.92,85,-0.2
Frank Batista,83.3,5.94,3.57,1.08,80,-0.2
Ryan Mattheus,57.3,6.6,2.83,0.94,87,-0.2
Jo-Jo Reyes,74,5.11,3.53,1.09,77,-0.2
Tim Berry,107,5.8,3.62,1.09,78,-0.2
Jarlin Garcia,122.7,6.09,2.79,1.32,77,-0.2
Paul Clemens,66.7,6.07,3.91,1.21,79,-0.2
Joba Chamberlain,49,8.45,3.31,1.1,89,-0.2
Ryan Webb,61,6.2,2.51,0.89,91,-0.2
Austin Kubitza,127.7,5.78,3.88,1.06,77,-0.2
Paul Voelker,41.7,8.42,4.32,1.29,86,-0.2
Joe Musgrove,85.3,6.75,1.37,1.58,78,-0.2
Darin Downs,33.7,7.74,3.47,1.07,87,-0.2
Jake Buchanan,110,4.83,2.37,1.15,79,-0.2
Brian Broderick,59,5.19,2.59,0.92,94,-0.2
Zach Stewart,133,5.55,2.57,1.08,78,-0.2
Dustin Richardson,39,7.62,4.38,0.92,79,-0.2
Adrian Salcedo,48.3,7.45,3.54,1.12,81,-0.2
Jaye Chapman,49,8.82,4.41,1.1,89,-0.2
Yhonathan Barrios,65,6.51,3.32,0.97,88,-0.2
Brent Suter,117.3,6.6,3.61,1.38,76,-0.2
Corey Williams,30,6.3,5.1,0.9,83,-0.2
Logan Darnell,103.7,6.42,3.47,1.22,78,-0.2
Brian Duensing,49,6.06,3.49,0.92,87,-0.2
Yorman Landa,30.7,8.21,4.98,1.17,80,-0.2
Johnny Barbato,52.7,8.71,3.76,1.37,86,-0.2
Josh Smoker,49,9.55,4.22,0.92,88,-0.2
Jim Henderson,35.7,10.08,3.78,1.26,83,-0.2
Cody Satterwhite,55.3,8.79,4.07,0.98,88,-0.2
Raul Alcantara,61,3.84,2.8,1.18,75,-0.2
Angel Castro,80.7,5.46,3.35,1.23,79,-0.2
Patrick Schuster,48,6.75,4.5,0.94,86,-0.2
Frank Herrmann,42.3,8.09,2.77,1.06,84,-0.2
Chad Billingsley,36,5.5,2.75,1.5,68,-0.2
Bobby LaFromboise,61.3,7.63,3.23,1.03,89,-0.2
Casey Sadler,107.7,5.43,2.51,1.25,76,-0.2
Guido Knudson,65.3,7.72,4,0.96,85,-0.2
Brad Lincoln,76.3,7.43,4.6,0.94,79,-0.2
Heath Wyatt,67.7,5.45,3.06,0.8,90,-0.2
Chris Perry,58.7,8.89,5.21,0.92,89,-0.2
Thomas Lee,99,5,1.82,1.27,78,-0.2
Ryan Butler,52,5.88,3.81,0.87,77,-0.2
Blake Smith,50.3,8.77,4.83,0.72,84,-0.2
Jeremy Affeldt,39,6.46,3,0.69,90,-0.2
Brett Bochy,59.3,6.98,3.64,0.76,89,-0.2
David Rollins,70,7.07,3.21,1.16,77,-0.2
Joe Beimel,41.3,5.45,3.05,1.09,84,-0.2
Chad Jenkins,82.7,5.11,2.39,1.41,80,-0.2
Blake McFarland,53.7,9.22,3.35,1.34,89,-0.2
Colt Hynes,53.7,7.37,2.68,1.17,89,-0.2
P.J. Walters,107.7,6.18,3.68,1.17,77,-0.2
Darin Gorski,109.7,7.14,3.86,1.39,76,-0.2
Erik Davis,46.7,7.71,4.63,0.96,87,-0.2
Matt Koch,95.7,4.89,2.16,1.32,78,-0.3
Andy Oliver,57.7,10.45,6.55,1.09,88,-0.3
C.J. Riefenhauser,57,6.63,3.47,1.11,87,-0.3
Dane de la Rosa,29.7,7.27,4.85,1.21,77,-0.3
Roman Mendez,49,7.16,4.04,1.1,85,-0.3
Keith Couch,113,4.86,3.42,1.12,76,-0.3
Craig Breslow,55.3,6.35,3.58,1.14,86,-0.3
Michael Ynoa,42.7,8.43,4.85,1.26,81,-0.3
Tyler Barnette,81.3,5.31,3.65,1.22,76,-0.3
Scott Barnes,48,7.88,3.75,1.5,78,-0.3
Keury Mella,93.7,7.49,4.03,1.54,74,-0.3
Jon Moscot,101,6.24,3.12,1.6,74,-0.3
Ryan Chaffee,35,8.23,5.91,0.77,83,-0.3
Shaun Marcum,69,6.78,2.61,1.3,76,-0.3
Giovanni Soto,53,7.98,3.91,0.85,89,-0.3
Kirby Yates,54,9.67,3.83,1.33,87,-0.3
Brian Schlitter,55.3,5.53,3.74,0.81,86,-0.3
Preston Guilmet,57.7,7.18,2.81,1.25,88,-0.3
Logan Kensing,53.3,6.25,4.05,1.01,87,-0.3
Whit Mayberry,49.3,6.39,2.92,1.1,87,-0.3
Jandel Gustave,66.7,6.48,4.18,0.94,79,-0.3
Christian Binford,126.7,5.04,2.49,1.28,79,-0.3
Benino Pruneda,45.3,6.95,4.77,0.79,88,-0.3
Scott Alexander,66.3,6.11,3.8,0.95,90,-0.3
Casey Coleman,78,5.31,4.27,0.92,83,-0.3
Clayton Mortensen,83.3,6.16,4.65,1.19,78,-0.3
Yunesky Maya,97.3,5.64,3.14,1.11,75,-0.3
Tyler DeLoach,116,7.68,4.27,1.24,75,-0.3
Chin-hui Tsao,45,9.6,3,1.4,82,-0.3
David Goforth,68,7.15,4.37,0.93,87,-0.3
Hobbs Johnson,95,6.73,4.83,1.33,74,-0.3
Jeremy Horst,52,7.96,4.33,1.04,84,-0.3
Jim Miller,62,7.69,2.32,1.45,84,-0.3
Nick Burdi,48,9.56,4.88,1.13,85,-0.3
Randy Rosario,44.3,5.89,4.47,1.22,70,-0.3
Brett Lee,110.7,3.98,3.33,1.06,74,-0.3
Ryan O¡¯Rourke,39,9.23,4.38,1.38,82,-0.3
Aaron Thompson,52.3,6.02,3.44,1.03,83,-0.3
Jaron Long,143.3,5.78,1.95,1.44,75,-0.3
Ryan Brasier,37.3,6.27,3.62,0.97,84,-0.3
Taylor Thompson,43,6.91,4.4,1.05,84,-0.3
Hector Neris,75.7,8.44,3.57,1.19,85,-0.3
Colton Murray,75.3,8.96,4.18,1.08,85,-0.3
Greg Burke,56.7,9.37,3.49,1.43,81,-0.3
Kevin Correia,102.3,5.54,2.38,1.32,72,-0.3
Mitch Harris,48,6.38,3.94,0.94,85,-0.3
Joan Gregorio,78.3,7.82,4.83,1.03,77,-0.3
Tyler Beede,116,5.66,3.96,0.85,76,-0.3
Clay Rapada,37.3,6.03,3.38,0.72,81,-0.3
Chad Smith,48,6.38,3.19,1.13,84,-0.3
Edwar Cabrera,100,5.85,3.06,1.44,77,-0.3
Adam Parks,55,8.02,3.27,1.31,87,-0.3
Scott McGregor,110.7,5.2,3.25,1.3,75,-0.3
Boone Whiting,103,6.38,4.46,1.22,75,-0.3
Nick Lee,50,9,7.2,0.9,83,-0.3
Blayne Weller,117,7.08,4.08,1.31,77,-0.4
Matt Marksberry,71,7.86,5.07,1.27,75,-0.4
Mauricio Cabrera,44,8.39,6.75,1.02,75,-0.4
Will Lamb,55,7.69,5.24,1.15,81,-0.4
Mark Blackmar,128,4.22,3.45,1.2,73,-0.4
Andury Acevedo,45,7.6,6,1.2,79,-0.4
Corey Black,94.3,9.26,5.34,1.43,75,-0.4
Sam LeCure,64.3,7.84,3.64,1.26,86,-0.4
Donovan Hand,90.3,5.98,2.39,1.5,77,-0.4
Jason Marquis,54.7,6.42,3.62,1.65,71,-0.4
Jose de la Torre,55.3,8.3,5.37,1.14,81,-0.4
Stephen Johnson,63,9.29,5.57,1,84,-0.4
Pat Urckfitz,57.7,5.77,3.9,0.78,85,-0.4
Robert Morey,85.3,5.06,4.11,1.06,75,-0.4
Austin Brice,119.3,7.24,5.05,1.21,75,-0.4
Scott McGough,54.3,5.97,4.31,0.83,83,-0.4
Brian Moran,45,7.4,3.6,1.2,82,-0.4
Austin Adams,51,8.12,3.71,1.06,85,-0.4
Gavin Floyd,40,6.75,2.93,1.8,67,-0.4
Rafael Dolis,37.3,6.51,5.31,0.97,81,-0.4
Dustin Molleken,48.3,8.01,4.66,1.3,82,-0.4
Michael Feliz,102.7,7.19,3.68,1.31,76,-0.4
Tyson Perez,48.3,6.71,3.54,1.12,81,-0.4
Danny Reynolds,54.3,7.62,4.81,0.83,85,-0.4
Brad Peacock,83.3,7.89,4.21,1.51,74,-0.4
Chris Dwyer,92.3,5.56,5.36,0.98,78,-0.4
Sam Selman,81,7.11,6.56,1,79,-0.4
Miguel Almonte,104,6.84,3.72,1.47,76,-0.4
D.J. Johnson,45,7,3.8,1,81,-0.4
Ramon Ramirez,34,7.41,4.5,1.06,78,-0.4
Josh Ravin,38.7,9.07,5.12,1.16,78,-0.4
Jorge Lopez,133,7.85,3.65,1.62,74,-0.4
Jake Reed,49.7,6.52,2.9,1.09,82,-0.4
Branden Pinder,54.3,8.12,3.31,1.49,82,-0.4
Luis Cessa,126.3,6.34,2.71,1.43,73,-0.4
Bobby Parnell,38.7,6.74,4.65,0.7,81,-0.4
John Church,64.3,7,2.66,0.98,85,-0.4
Daniel Coulombe,61.7,8.31,5.69,0.88,85,-0.4
David Buchanan,146,5.42,2.9,1.11,72,-0.4
Tayron Guerrero,54,9,4.67,1,83,-0.4
Jose Torres,73,8.63,4.07,0.99,83,-0.4
Alfredo Aceves,49,6.24,4.04,1.1,74,-0.4
Kyle Crick,71.7,10.17,8.91,0.75,74,-0.4
Mayckol Guaipe,66,7.23,2.32,1.09,84,-0.4
Kevin Gregg,16.3,7.73,3.87,1.66,66,-0.4
David Martinez,84.7,5.21,3.4,1.17,79,-0.4
Francisco Mendoza,58,6.83,5.12,1.09,83,-0.4
Connor Sadzeck,83.3,5.29,6.37,0.97,73,-0.4
Cory Burns,58,6.83,3.41,1.24,84,-0.4
Tim Alderson,60,6.15,3.15,1.35,76,-0.4
Will Locante,46.3,7.78,5.83,0.97,81,-0.5
Matt Buschmann,122,6.57,4.06,1.4,76,-0.5
Matt Stites,48.3,6.71,3.54,1.3,82,-0.5
Caleb Clay,118.3,4.79,2.59,1.45,75,-0.5
Terry Doyle,124.7,5.41,2.81,1.44,75,-0.5
Tyler Wilson,132.7,5.83,2.58,1.56,74,-0.5
Jason Garcia,49.3,7.3,5.11,1.46,75,-0.5
Elih Villanueva,120.3,4.86,2.77,1.5,73,-0.5
Madison Younginer,62.7,6.46,4.45,1,83,-0.5
Jorge Marban,58,7.14,6.36,0.93,82,-0.5
Daniel Webb,64.3,7.56,5.46,0.98,80,-0.5
Maikel Cleto,55,10.47,5.07,1.64,79,-0.5
Drew Hayes,64.3,8.26,5.04,1.12,83,-0.5
Sal Romano,125.3,5.96,3.81,1.22,73,-0.5
Collin Balester,49,6.61,3.86,1.29,77,-0.5
Robert Stephenson,126.3,9.05,4.99,1.71,73,-0.5
Nefi Ogando,61.7,7,4.67,0.88,83,-0.5
Carlos Marmol,30.7,11.14,6.74,1.47,75,-0.5
Tom Gorzelanny,50,8.64,3.96,1.26,77,-0.5
Jeff Ferrell,52.3,7.23,2.93,1.38,82,-0.5
Joe Mantiply,66.3,6.65,2.99,1.22,84,-0.5
Drake Britton,83,4.99,3.9,1.19,76,-0.5
Andy Ferguson,109.3,6.59,3.21,1.65,76,-0.5
Matthew Strahm,59.3,9.11,4.25,1.82,74,-0.5
Damien Magnifico,52.3,6.02,3.79,1.2,78,-0.5
Adrian Houser,107.3,6.88,3.86,1.43,73,-0.5
