Name,playerid,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
Jamey Wright,715.0,A,C,E,C,B,C,C,B,A
Mike Trombley,758.0,A,B,A,C,B,C,A,A,A
Heathcliff Slocumb,1012069.0,B,A,B,D,B,C,C,B,A
Hoyt Wilhelm,1013945.0,K,J,G,G,H,H,F,E,C
Zach Duke,3840.0,I,K,J,H,H,H,B,E,C
Jack Aker,1000097.0,C,B,A,A,A,A,A,A,A
Chuck McElroy,1008477.0,A,D,B,D,E,A,A,A,A
Jeff Shaw,1011823.0,B,A,A,A,A,D,A,G,D
Todd Worrell,1014259.0,F,F,C,B,C,B,B,G,A
Roger Clemens,815.0,M,N,O,N,O,O,O,O,O
Jim Johnson,3656.0,A,C,B,D,E,A,A,A,A
Jim Barr,1000606.0,F,E,F,I,G,G,G,C,H
Eddie Fisher,1004085.0,F,E,C,B,C,B,B,A,A
Steve Hargan,1005356.0,J,L,I,H,L,J,J,E,G
Eric Show,1011937.0,H,G,B,D,B,D,D,D,B
Carl Pavano,790.0,F,E,C,B,G,K,E,D,D
Greg Minton,1008986.0,E,B,C,A,C,A,A,A,A
Edwin Nunez,1009658.0,B,C,A,A,A,A,A,A,A
Fernando Valenzuela,1013327.0,O,O,N,N,N,M,M,M,N
Steve Avery,1706.0,I,I,M,J,K,G,L,I,G
Rick Porcello,2717.0,I,J,F,I,G,F,H,C,E
Paul Lindblad,1007614.0,A,D,D,A,A,A,A,A,A
Tom Murphy,1009376.0,I,F,C,B,C,B,B,A,C
Curtis Leskanic,694.0,F,F,C,B,C,B,B,A,A
Hector Carrasco,1240.0,C,B,A,A,A,A,A,A,A
Russ Springer,1652.0,B,A,A,A,A,A,A,A,A
Doug Fister,9425.0,J,N,K,L,J,J,L,I,G
Don Hood,1005994.0,A,B,D,C,A,C,A,A,A
Jim Perry,1010213.0,H,J,E,F,D,D,D,G,D
Pete Richert,1010922.0,A,D,H,I,B,I,C,B,B
Mario Soto,1012289.0,B,H,F,K,M,L,N,K,H
Carlos Zambrano,305.0,J,L,K,L,J,M,I,H,K
Brian Fuentes,429.0,A,C,E,E,B,C,C,B,A
Scott Kazmir,4897.0,J,L,K,J,K,J,L,I,I
Roy Halladay,1303.0,D,H,M,O,M,L,K,J,J
Aaron Harang,1451.0,H,J,M,O,M,L,N,K,H
Dennis Cook,8.0,D,A,A,A,A,A,A,A,A
Scott Erickson,137.0,J,I,J,H,G,G,H,L,F
Tim Wakefield,219.0,G,H,E,E,B,E,C,B,B
Jeff Reardon,1010741.0,A,C,E,E,B,C,C,B,A
Bud Norris,9492.0,E,E,F,F,I,C,C,B,B
Bob Knepper,1007031.0,L,K,J,H,H,H,E,E,I
Chris Hammond,92.0,E,J,E,F,D,C,C,B,B
Brett Myers,962.0,F,E,H,I,I,I,L,D,I
Gary Bell,1000806.0,E,F,C,B,C,D,D,G,D
Skip Lockwood,1007696.0,F,I,J,B,C,D,D,G,C
Brian Moehler,480.0,I,M,L,J,L,J,F,E,G
Ken Hill,1005827.0,H,J,H,I,G,F,H,C,E
Kevin Brown,642.0,M,K,M,O,K,L,K,N,J
Steve Reed,1053.0,B,C,E,E,A,A,A,A,A
Salomon Torres,1628.0,B,A,A,A,A,A,A,A,A
Jered Weaver,4235.0,I,M,L,O,M,L,N,K,L
Justin Verlander,8700.0,L,M,O,N,O,O,O,O,O
Kirk McCaskill,1008382.0,N,K,J,H,H,H,E,E,C
Juan Pizarro,1010382.0,J,L,K,L,K,J,L,I,G
Dan Plesac,1319.0,I,J,G,G,D,B,B,B,C
Mark Guthrie,876.0,J,F,J,B,C,B,B,A,C
Vicente Padilla,964.0,A,H,F,F,F,E,F,F,B
Pete Harnisch,1005374.0,F,I,F,K,F,E,L,F,B
Tom Henke,1005649.0,J,L,I,H,L,H,J,E,G
Claude Raymond,1010732.0,D,A,B,D,E,A,A,A,A
Frank Tanana,1012818.0,N,O,N,N,N,M,M,I,N
Matt Morris,1172.0,M,K,M,O,K,M,G,K,L
Aaron Cook,1571.0,C,E,B,C,I,K,D,D,D
Clayton Richard,3551.0,E,E,E,E,D,B,B,A,A
Willie Hernandez,1005714.0,G,D,D,C,B,D,D,G,D
Jeff Fassero,279.0,E,H,F,K,M,L,I,H,K
Mike Fetters,988.0,B,A,A,A,A,A,A,A,A
Ryan Franklin,1076.0,C,E,B,D,C,A,A,A,A
Jake Peavy,1051.0,H,H,M,O,M,L,I,J,L
Woody Williams,1190.0,C,B,B,C,B,D,D,G,D
Floyd Bannister,1000516.0,G,J,M,I,G,G,G,C,M
Jose DeLeon,1003168.0,M,K,G,H,G,K,E,H,M
Rollie Fingers,1004051.0,F,E,C,C,G,F,H,C,E
Dave Goltz,1004818.0,E,J,M,I,M,L,K,J,M
Steve Rogers,1011138.0,L,L,K,N,O,N,K,M,L
Stan Williams,1014039.0,L,K,J,H,H,H,E,E,C
Jon Garland,232.0,A,C,E,F,G,K,H,C,E
Rick White,456.0,C,B,B,D,E,A,A,A,A
Jaime Navarro,1009465.0,I,I,M,J,K,G,H,C,I
John Wetteland,1013815.0,G,G,H,I,E,I,D,B,B
Pat Hentgen,145.0,F,I,F,K,M,F,N,K,H
Doug Drabek,1003473.0,I,I,I,K,J,G,H,H,M
Chuck Finley,384.0,A,H,F,K,M,F,N,J,F
Jack Fisher,1004090.0,I,K,G,G,H,H,E,E,C
Bill Hands,1005303.0,E,H,M,O,M,L,N,J,L
Ken Johnson,1006477.0,A,H,F,J,K,G,G,F,H
Mickey Lolich,1007712.0,L,L,K,L,J,N,K,N,J
John Curtis,1002905.0,M,K,G,G,D,B,B,E,C
Moe Drabowsky,1003474.0,D,H,E,E,D,D,A,A,A
Kevin Gregg,1793.0,G,D,D,D,E,A,A,A,A
Tim Hudson,921.0,M,M,N,N,N,M,M,M,L
Terry Forster,1004236.0,F,I,F,F,F,E,F,F,G
Mark Portugal,1010460.0,G,D,B,D,B,C,D,G,E
Dave Roberts,1011031.0,F,N,I,L,J,G,I,H,K
Mike Scott,1011691.0,E,B,B,C,B,K,H,L,M
Cliff Lee,1636.0,E,H,F,F,G,G,H,N,J
Kerry Wood,304.0,K,M,L,M,K,M,J,K,G
Roy Oswalt,571.0,N,O,N,N,O,N,O,M,N
Pete Smith,1012191.0,F,E,C,B,D,B,B,A,A
Jorge De La Rosa,2047.0,D,A,B,I,I,I,D,D,E
Mike Boddicker,1001111.0,M,M,L,M,N,M,M,H,M
Pat Dobson,1003345.0,C,C,H,K,M,F,N,J,E
Tug McGraw,1008545.0,D,C,E,C,B,C,C,B,A
Nolan Ryan,1011348.0,E,E,C,K,M,L,N,J,J
Rafael Betancourt,177.0,F,E,C,C,I,C,C,B,B
Bob Howry,237.0,A,C,E,E,A,D,A,G,A
Willie Blair,1001033.0,D,D,B,D,A,A,A,A,A
Tom Hume,1006179.0,F,I,I,B,D,B,B,A,A
Rick Helling,58.0,B,A,H,I,B,I,D,D,B
Neil Allen,1000154.0,H,G,D,A,A,A,A,A,A
Mike Caldwell,1001830.0,I,J,G,G,D,K,H,L,M
Bruce Kison,1006978.0,E,B,D,C,B,D,D,G,D
Sam McDowell,1008476.0,C,H,M,O,K,L,K,N,O
Clyde Wright,1014272.0,C,B,A,C,B,C,C,D,D
Doug Jones,1006552.0,L,M,L,H,H,H,J,E,C
Bret Saberhagen,1011355.0,N,L,K,N,O,N,K,M,N
Zane Smith,1012218.0,I,L,I,H,J,G,I,H,K
James Shields,7059.0,L,L,K,L,J,G,I,H,M
Mike LaCoss,1007240.0,F,E,C,B,C,B,B,G,A
Steve Renko,1010835.0,C,E,C,C,G,C,E,D,E
Scott Sanderson,1011422.0,I,I,I,H,F,H,J,C,I
Kelvim Escobar,1298.0,E,I,I,F,I,H,H,C,E
Earl Wilson,1014073.0,F,E,I,K,G,F,E,C,E
Jack Morris,1009211.0,A,H,F,J,F,G,H,L,F
Elias Sosa,1012284.0,D,D,B,D,B,D,A,A,A
Pete Falcone,1003910.0,F,F,C,B,C,B,B,A,A
Aurelio Lopez,1007753.0,F,E,C,B,C,B,B,A,A
Ricky Bones,1001161.0,D,D,B,D,E,A,A,A,A
Jay Howell,1006098.0,J,I,I,B,H,B,B,E,C
Bob Tewksbury,1012941.0,H,G,H,I,G,K,G,C,F
Ron Kline,1007004.0,F,F,C,B,C,B,B,A,A
Dan Quisenberry,1010622.0,F,E,C,C,I,D,D,D,B
Darren Oliver,206.0,C,H,E,E,G,E,C,B,B
Santiago Casilla,2873.0,A,A,A,A,A,A,A,A,A
Ray Culp,1002869.0,H,J,E,E,G,K,H,L,M
Bronson Arroyo,978.0,A,H,F,K,M,F,G,K,H
Darren Holmes,95.0,E,C,B,D,E,C,C,B,A
Pedro Martinez,200.0,I,I,K,O,O,O,O,O,O
Rudy May,1008310.0,F,I,F,J,F,G,H,C,E
Rheal Cormier,952.0,I,F,J,G,H,H,B,E,C
Chris Bosio,1001212.0,J,I,K,J,K,G,I,H,I
Dick Bosman,1001215.0,C,C,H,I,I,I,G,D,B
Tom Underwood,1013281.0,M,K,G,G,H,H,E,E,C
Moose Haas,1005172.0,G,J,H,I,G,F,G,C,E
Justin Speier,451.0,A,D,D,A,A,A,A,A,A
Joe Beimel,979.0,A,A,A,A,A,A,A,A,A
Dave Veres,1188.0,F,F,C,C,C,C,A,A,A
David Price,3184.0,J,L,K,L,J,N,K,H,K
Joe Coleman,1002428.0,I,I,I,K,M,L,N,K,H
John Denny,1003210.0,H,J,H,G,E,D,D,C,F
Phil Niekro,1009583.0,D,H,F,K,M,L,K,J,J
Buddy Groom,143.0,B,A,A,A,A,A,A,A,A
Ted Power,1010504.0,B,C,E,E,B,C,C,B,A
Randy Johnson,60.0,I,I,F,K,M,L,K,O,J
Robb Nen,1123.0,C,C,H,D,G,I,D,C,E
Rich Rodriguez,1276.0,D,C,A,A,A,A,A,A,A
Brian Bohanon,1001126.0,C,B,A,A,A,A,A,G,D
Sid Fernandez,1004001.0,J,L,I,H,J,G,J,H,I
Omar Olivares,1009771.0,E,E,C,B,C,D,B,G,D
Camilo Pascual,1010039.0,N,O,N,N,N,M,M,M,N
Tyler Clippard,5640.0,C,E,E,B,B,B,C,B,A
Len Barker,1000546.0,G,H,M,O,M,L,N,K,H
Steve Bedrosian,1000766.0,K,J,G,G,D,B,B,B,C
Aaron Sele,34.0,I,K,J,G,G,K,H,C,M
Todd Van Poppel,1284.0,B,C,E,E,A,A,A,A,A
Brandon Morrow,9346.0,A,B,H,I,I,I,C,B,B
Bob Locker,1007688.0,E,E,C,B,D,B,B,G,A
Kevin Tapani,1012824.0,J,L,K,L,J,M,I,H,K
Frank Castillo,180.0,I,K,J,G,H,H,E,E,C
Chris Carpenter,1292.0,I,I,I,H,D,H,H,L,F
Ervin Santana,3200.0,I,F,M,J,K,I,L,I,I
Shane Reynolds,574.0,L,O,K,L,N,M,M,H,K
Clay Buchholz,3543.0,A,H,E,E,F,E,D,F,D
Ron Reed,1010773.0,L,K,J,H,H,H,H,L,M
Jeff Russell,1011314.0,E,F,C,B,C,D,B,G,D
Roberto Hernandez,605.0,I,F,G,C,I,C,C,B,C
Kip Wells,1012.0,A,C,H,I,B,I,C,B,B
Milt Wilcox,1013939.0,B,C,A,A,A,D,D,G,D
